N	2gram	Losev_Prob_4	Myshleni
1	в том	20	42
2	том что	12	35
3	таким образом	8	25
4	точки зрения	14	24
5	в этом	9	24
6	в качестве	10	21
7	и в	20	20
8	что в	3	19
9	заключается в	2	18
10	то же	7	16
11	то что	15	15
12	не только	24	15
13	что они	2	14
14	научные понятия	2	14
15	как мы	3	13
16	с другой	7	12
17	при этом	6	12
18	потому что	15	12
19	может быть	9	12
20	так же	5	11
21	в его	3	11
22	мы должны	3	11
23	с точки	11	11
24	в истории	3	10
25	так как	5	10
26	в отношении	4	10
27	если мы	5	10
28	и то	2	10
29	в себе	12	10
30	только в	23	10
31	и как	3	9
32	но и	14	9
33	другой стороны	6	9
34	как это	3	9
35	как и	6	9
36	того же	2	9
37	тот же	2	9
38	что и	3	9
39	понятия и	3	9
40	и не	28	8
41	и тем	7	8
42	и что	2	8
43	в результате	8	8
44	этом смысле	3	8
45	было бы	14	8
46	вместе с	5	8
47	и более	3	7
48	как бы	4	7
49	что мы	3	7
50	же самое	6	7
51	в своей	4	7
52	самом деле	3	7
53	тем самым	4	7
54	а не	7	7
55	того чтобы	2	7
56	тем что	3	7
57	уже в	4	6
58	к тому	3	6
59	тому же	2	6
60	такого рода	7	6
61	в самом	2	6
62	не может	5	6
63	и на	3	6
64	сказать что	7	6
65	его в	2	6
66	с тем	4	6
67	что он	8	6
68	можно было	4	6
69	перед нами	13	5
70	в частности	2	5
71	это не	7	5
72	не является	10	5
73	только не	4	5
74	если бы	8	5
75	и его	10	5
76	между собой	2	5
77	с этим	4	5
78	и к	3	5
79	все же	2	5
80	о том	5	5
81	так и	10	5
82	как в	5	5
83	для того	3	5
84	все эти	16	5
85	мы можем	3	5
86	все время	2	4
87	в нашем	12	4
88	в своем	3	4
89	для нас	6	4
90	является не	2	4
91	из них	3	4
92	и только	4	4
93	друг друга	2	4
94	как они	2	4
95	в сознании	3	4
96	и с	7	4
97	по своему	6	4
98	в смысле	5	4
99	только что	2	4
100	что понятие	3	4
101	не в	13	4
102	и для	4	4
103	во всяком	8	4
104	в области	3	4
105	не менее	10	3
106	в этих	5	3
107	в какой	4	3
108	и от	6	3
109	точно так	3	3
110	на все	2	3
111	и понятие	4	3
112	слова то	2	3
113	а только	6	3
114	так что	6	3
115	в этой	4	3
116	по одному	2	3
117	себе и	3	3
118	одной из	4	3
119	почти всегда	2	3
120	в условиях	3	3
121	и является	3	3
122	в виду	6	3
123	всяком случае	4	3
124	в связи	3	3
125	в совершенно	2	3
126	именно в	7	3
127	столь же	2	3
128	и мышления	3	3
129	и когда	2	3
130	на его	2	3
131	научного понятия	2	3
132	но в	8	3
133	отнюдь не	10	3
134	и во	4	3
135	приходит к	2	3
136	во всем	2	3
137	но не	5	3
138	со всеми	2	3
139	не являются	2	3
140	только к	3	3
141	в обоих	2	3
142	себя в	2	3
143	совершенно не	3	3
144	этого понятия	2	3
145	говорит что	2	3
146	виде и	2	3
147	ни в	17	3
148	в виде	22	3
149	связи с	3	3
150	ничего общего	5	3
151	в чем	2	3
152	в которой	2	3
153	содержит в	8	2
154	но так	2	2
155	прежде всего	11	2
156	находятся в	2	2
157	для него	3	2
158	случае не	5	2
159	что это	2	2
160	том чтобы	2	2
161	они могут	2	2
162	в ней	7	2
163	от понятия	2	2
164	в нем	5	2
165	к нему	3	2
166	другими словами	3	2
167	данном случае	5	2
168	отличается от	4	2
169	не просто	16	2
170	здесь мы	3	2
171	не имеет	4	2
172	а в	4	2
173	вообще не	3	2
174	также и	13	2
175	к другой	2	2
176	в данном	6	2
177	но как	3	2
178	в начале	3	2
179	что здесь	6	2
180	том смысле	2	2
181	когда мы	5	2
182	понятие о	2	2
183	мы имеем	6	2
184	в известном	2	2
185	но они	2	2
186	уже и	3	2
187	представить себе	2	2
188	ясно что	7	2
189	стороны и	2	2
190	зависимости от	3	2
191	том виде	2	2
192	мы его	2	2
193	указывает на	4	2
194	в настоящей	2	2
195	еще не	7	2
196	никак не	4	2
197	как показывает	2	2
198	далеко не	2	2
199	а также	6	2
200	не есть	12	2
201	только на	2	2
202	и тогда	2	2
203	если не	3	2
204	в той	8	2
205	и он	2	2
206	в таком	6	2
207	это значит	10	2
208	в каком	6	2
209	и это	2	2
210	здесь не	7	2
211	едва ли	10	2
212	значит что	8	2
