N	3gram	Tiupa_Anal_1	Vvedenie
1	для того чтобы	3	20
2	о том что	3	12
3	в том что	9	12
4	не может быть	16	8
5	то же время	6	6
6	в самом деле	2	6
7	в то же	8	6
8	мере в какой	2	5
9	той мере в	2	5
10	и т п	3	5
11	с другой стороны	2	5
12	в широком смысле	2	5
13	в той мере	2	5
14	в том чтобы	7	5
15	в данном случае	2	4
16	с одной стороны	3	4
17	что иное как	5	4
18	в этом отношении	2	4
19	не что иное	4	4
20	по отношению к	5	4
21	именно в этом	2	3
22	в свое время	2	3
23	большей или меньшей	4	3
24	но в то	2	3
25	той или иной	6	2
26	с точки зрения	4	2
27	не могут быть	2	2
28	не в том	3	2
29	то же самое	2	2
30	есть не что	3	2
31	состоит в том	3	2
32	подобно тому как	3	2
