N	2gram	Bakhtin_Fr_4	Problemy
1	и в	29	34
2	и не	16	29
3	как бы	8	27
4	что он	4	23
5	в его	8	22
6	может быть	2	19
7	в нем	5	19
8	не может	2	19
9	и все	13	19
10	как и	12	18
11	но в	12	16
12	все это	4	16
13	и его	8	16
14	в этом	11	16
15	и с	9	15
16	прежде всего	8	15
17	что я	2	15
18	он не	3	15
19	то же	10	14
20	к нему	3	14
21	но и	9	12
22	же время	8	12
23	и к	2	12
24	в то	10	12
25	вовсе не	9	11
26	в сущности	6	11
27	то что	4	11
28	на самом	4	11
29	не только	10	10
30	самого начала	3	8
31	никогда не	2	8
32	с самого	3	8
33	о мире	2	8
34	так же	7	8
35	точки зрения	4	8
36	с ним	2	8
37	и для	2	8
38	и даже	3	7
39	все же	3	7
40	как мы	10	7
41	как будто	2	7
42	там где	3	7
43	что они	2	6
44	у меня	2	6
45	что у	3	6
46	и на	11	6
47	с ними	3	6
48	с его	4	6
49	мы уже	10	6
50	так и	11	6
51	в плане	4	6
52	в себе	3	6
53	только в	2	6
54	все время	3	5
55	что это	5	5
56	это не	5	5
57	в конце	9	5
58	к тому	2	5
59	того что	3	5
60	и сам	3	5
61	из них	6	5
62	таким образом	20	5
63	на них	2	5
64	и вот	3	5
65	не мог	2	5
66	и так	3	5
67	и наконец	2	5
68	он и	5	5
69	и у	2	5
70	в слове	2	5
71	в чем	3	5
72	с другой	4	4
73	ни в	2	4
74	да и	2	4
75	но это	4	4
76	на этом	2	4
77	у него	5	4
78	при этом	3	4
79	на его	2	4
80	как к	3	4
81	все эти	9	4
82	рядом с	5	4
83	даже и	2	4
84	но как	3	4
85	его в	9	4
86	так как	7	4
87	как раз	2	4
88	но не	2	4
89	еще не	4	4
90	с таким	2	4
91	как в	2	4
92	с точки	2	4
93	тем что	4	4
94	и это	2	4
95	уже в	2	3
96	его к	2	3
97	в том	7	3
98	такой же	3	3
99	до конца	5	3
100	хотя и	2	3
101	в виду	2	3
102	в котором	2	3
103	с ее	3	3
104	мы видели	7	3
105	уже говорили	5	3
106	жизни и	4	3
107	другой стороны	3	3
108	вот как	2	3
109	его и	2	3
110	в одной	2	3
111	их в	2	3
112	в ней	3	3
113	где он	2	3
114	но он	6	3
115	как он	2	3
116	конце концов	4	3
117	большинстве случаев	5	3
118	в ее	3	3
119	том что	3	3
120	по своему	4	3
121	в своей	5	3
122	и как	3	3
123	и то	2	3
124	далеко не	5	3
125	это в	2	2
126	о своей	2	2
127	в большинстве	6	2
128	было в	2	2
129	в другой	2	2
130	же и	3	2
131	все те	2	2
132	один из	4	2
133	друг друга	2	2
134	и со	2	2
135	в своем	3	2
136	же вы	2	2
137	но только	2	2
138	как на	2	2
139	особенно в	3	2
140	эпизод с	2	2
141	о том	2	2
142	почти все	3	2
143	сказать что	5	2
144	к которому	2	2
145	во время	10	2
146	а как	2	2
147	всех этих	3	2
148	в них	7	2
149	здесь и	3	2
150	в жизни	2	2
151	по всему	2	2
152	у вас	2	2
153	которых он	2	2
154	это и	5	2
155	то в	3	2
156	того же	5	2
157	тот же	3	2
158	мы увидим	2	2
159	раз в	2	2
160	конечно не	4	2
161	но этот	2	2
162	всего романа	2	2
163	своего рода	6	2
164	бы не	2	2
165	жизнь и	4	2
166	в той	2	2
167	уже не	2	2
168	что значит	3	2
169	в которой	4	2
170	той же	3	2
171	тому как	3	2
172	связан с	4	2
173	подобно тому	3	2
174	так сказать	2	2
175	же не	2	2
176	о чем	2	2
