N	2gram	Propp_Morf_1	Istorich
1	и в	13	25
2	что он	4	22
3	и т	41	20
4	в сказке	15	18
5	т д	39	18
6	может быть	52	17
7	т е	21	16
8	мы имеем	9	14
9	не только	4	13
10	но и	4	13
11	и не	12	11
12	уже не	2	11
13	так как	16	11
14	все же	7	10
15	в этом	14	10
16	тем что	4	10
17	с другой	8	9
18	его в	2	9
19	таким образом	21	9
20	героя в	4	9
21	в виде	2	9
22	с тем	2	8
23	связи с	10	8
24	что в	8	8
25	этих случаях	11	8
26	том что	4	8
27	мы видим	13	8
28	еще не	3	8
29	на него	3	8
30	другой стороны	4	8
31	все эти	2	8
32	и что	2	8
33	в частности	2	7
34	в качестве	5	7
35	во время	6	7
36	а затем	4	7
37	как и	3	7
38	но это	6	7
39	то что	8	7
40	этом случае	8	7
41	при помощи	9	7
42	потому что	3	7
43	и здесь	5	7
44	представляет собой	17	7
45	только в	2	7
46	о том	2	7
47	в этих	13	6
48	это не	6	6
49	прежде всего	9	6
50	змея и	2	6
51	что и	7	6
52	как в	3	6
53	не может	14	6
54	не в	3	6
55	или в	4	6
56	могут быть	16	6
57	в том	6	6
58	там где	5	6
59	убивает его	2	6
60	в море	5	5
61	ясно что	5	5
62	с этим	11	5
63	в образе	4	5
64	видим что	10	5
65	как мы	6	5
66	для нас	2	5
67	но все	3	5
68	здесь мы	3	5
69	но не	4	5
70	мы увидим	8	5
71	например в	2	5
72	не будем	4	5
73	в иное	5	5
74	так же	3	5
75	входит в	2	5
76	мы не	8	5
77	не менее	5	4
78	раньше чем	3	4
79	все еще	3	4
80	не всегда	9	4
81	и тем	2	4
82	и конь	2	4
83	тем не	5	4
84	в пределах	3	4
85	иное царство	5	4
86	наряду с	5	4
87	в некоторых	3	4
88	в связи	9	4
89	то же	7	4
90	он не	3	4
91	мы должны	3	4
92	же можно	2	4
93	в которой	3	4
94	того как	2	4
95	этот случай	5	3
96	и как	5	3
97	в целом	3	3
98	увидим ниже	5	3
99	что его	2	3
100	в этой	2	3
101	в то	3	3
102	со змеем	4	3
103	того чтобы	3	3
104	и пр	37	3
105	нет необходимости	6	3
106	сказки в	2	3
107	но оно	2	3
108	в ином	2	3
109	если в	5	3
110	и др	10	3
111	по воздуху	2	3
112	но мы	3	3
113	то это	3	3
114	время боя	2	3
115	представляют собой	11	3
116	в форме	6	3
117	что при	2	3
118	сюда же	3	3
119	на этом	3	3
120	для того	2	3
121	к нему	3	3
122	друг друга	3	3
123	а в	7	3
124	в которых	2	3
125	можно наблюдать	3	3
126	можно бы	2	3
127	никто не	3	3
128	в таких	2	3
129	герой не	2	3
130	или же	6	3
131	на птице	2	2
132	на берег	2	2
133	перед нами	10	2
134	встречается и	3	2
135	можно показать	2	2
136	здесь можно	3	2
137	сказки и	3	2
138	это уже	3	2
139	он может	2	2
140	его и	2	2
141	и затем	4	2
142	сказки то	2	2
143	помощи которой	2	2
144	к этому	3	2
145	и змей	2	2
146	вовсе не	4	2
147	летучий корабль	4	2
148	вопрос о	7	2
149	на то	2	2
150	таких случаях	2	2
151	в различных	2	2
152	б в	2	2
153	можно сказать	2	2
154	об этом	4	2
155	же в	2	2
156	в другую	2	2
157	по существу	12	2
158	одна из	4	2
159	о герое	3	2
160	а на	3	2
161	животных и	3	2
162	с этого	2	2
163	она не	2	2
164	но есть	3	2
165	несмотря на	4	2
166	если бы	2	2
167	из которых	3	2
168	или на	3	2
169	как таковое	2	2
170	но для	2	2
171	следует за	2	2
172	как бы	3	2
173	из двух	2	2
174	один из	5	2
175	на спине	2	2
176	отношению к	4	2
177	во всех	4	2
178	сделать из	2	2
179	со стороны	3	2
180	так например	3	2
181	означает что	2	2
182	перед боем	2	2
183	по отношению	4	2
184	и таким	2	2
185	образом мы	5	2
186	и для	2	2
187	в сказках	3	2
188	самом деле	4	2
189	наблюдать что	2	2
190	а не	11	2
191	того что	3	2
192	и по	2	2
193	на коне	5	2
194	в других	3	2
195	то здесь	3	2
196	то в	3	2
197	на съедение	2	2
198	сказать что	2	2
199	за ней	2	2
200	точки зрения	2	2
201	ту же	2	2
202	что мы	2	2
203	из них	3	2
204	в свое	2	2
205	из дому	2	2
206	тех же	4	2
207	и этим	5	2
208	а если	4	2
209	ничего не	4	2
210	значит что	3	2
211	это было	3	2
212	мы можем	2	2
