N	2gram	Bakhtin_sl_2	Problema
1	то есть	26	46
2	в его	7	43
3	и не	22	42
4	и в	39	38
5	и проч	2	28
6	не может	20	27
7	может быть	37	26
8	как бы	7	22
9	по отношению	4	21
10	отношению к	4	19
11	и с	9	17
12	и его	33	16
13	в нем	19	15
14	в этом	16	15
15	и т	35	14
16	независимо от	2	13
17	прежде всего	8	13
18	только в	5	13
19	т п	33	13
20	за пределы	2	12
21	но не	6	12
22	ни в	4	11
23	к материалу	2	11
24	во всех	12	11
25	и для	5	11
26	в области	2	11
27	к нему	3	10
28	отношение к	4	10
29	в их	2	10
30	таким образом	8	10
31	материала в	2	10
32	в поэзии	2	9
33	но и	21	9
34	его в	4	9
35	не только	24	9
36	имеет дело	2	9
37	в том	5	8
38	и как	3	8
39	и др	4	8
40	точки зрения	8	8
41	то что	2	8
42	входит в	4	8
43	слова в	13	7
44	что в	3	7
45	с другой	5	7
46	с помощью	4	7
47	не в	9	7
48	между тем	3	7
49	отметить что	3	7
50	как и	6	7
51	еще не	7	7
52	как мы	7	7
53	в плане	5	7
54	не всегда	2	6
55	в пределах	13	6
56	и наконец	5	6
57	а в	4	6
58	все же	6	6
59	дело с	4	6
60	с точки	3	6
61	там где	6	6
62	отношения к	4	6
63	то же	4	5
64	все они	2	5
65	в своем	6	5
66	это не	5	5
67	при этом	7	5
68	никогда не	7	5
69	все эти	6	5
70	рядом с	3	5
71	в основе	4	5
72	может иметь	3	5
73	далеко не	2	5
74	с ним	7	5
75	в них	6	5
76	со словом	5	5
77	конечно не	5	5
78	в большинстве	6	5
79	так и	15	5
80	в отличие	12	5
81	большинстве случаев	5	5
82	а не	14	5
83	могут быть	7	5
84	отличие от	13	5
85	должна быть	3	4
86	не менее	4	4
87	в нашем	2	4
88	материал в	3	4
89	не входят	2	4
90	в ней	3	4
91	известной степени	2	4
92	в форме	2	4
93	которых мы	2	4
94	с ними	5	4
95	конечно и	2	4
96	сказать что	3	4
97	в более	2	4
98	в то	4	4
99	о том	2	4
100	и потому	7	4
101	но в	6	4
102	вне себя	2	4
103	не с	3	4
104	своим предметом	2	4
105	всех его	3	4
106	как вещь	2	4
107	как в	13	4
108	в романе	46	4
109	может и	2	4
110	хотя бы	3	4
111	в данном	2	4
112	более того	2	4
113	в себе	2	4
114	здесь не	4	4
115	себя и	4	3
116	и от	3	3
117	на материале	2	3
118	его как	2	3
119	в дальнейшем	2	3
120	но это	3	3
121	же время	4	3
122	кроме того	2	3
123	из важнейших	2	3
124	одной стороны	5	3
125	например в	5	3
126	хотя и	2	3
127	связи и	2	3
128	точка зрения	2	3
129	все это	16	3
130	с одной	5	3
131	на них	2	3
132	они не	2	3
133	и даже	7	3
134	и на	4	3
135	языка в	6	3
136	также и	2	3
137	или как	4	3
138	и все	5	3
139	но здесь	4	3
140	на фоне	4	3
141	и к	6	3
142	она может	2	3
143	том что	5	3
144	говорить о	3	3
145	от него	5	3
146	все что	2	3
147	мы увидим	2	3
148	со всеми	2	3
149	может стать	2	3
150	он не	2	3
151	на почве	4	3
152	оно не	8	3
153	слова не	4	3
154	входят в	2	3
155	на него	2	3
156	менее всего	2	3
157	в слове	6	3
158	в таком	4	3
159	с другими	4	3
160	не знает	2	3
161	слова и	8	3
162	чем в	2	2
163	на этом	3	2
164	а лишь	2	2
165	не могут	5	2
166	человек в	6	2
167	ни к	2	2
168	и другие	2	2
169	в этих	7	2
170	материала и	3	2
171	и мир	4	2
172	или иной	5	2
173	узком смысле	4	2
174	что оно	4	2
175	иметь дело	2	2
176	в значительной	6	2
177	в свою	3	2
178	нем и	2	2
179	дело идет	2	2
180	той или	5	2
181	его моментов	2	2
182	но она	2	2
183	отличается от	2	2
184	как к	3	2
185	в связи	2	2
186	в особенности	3	2
187	особенно в	2	2
188	не было	2	2
189	этом отношении	3	2
190	и художественно	2	2
191	чем не	2	2
192	и других	4	2
193	лишь в	3	2
194	его не	4	2
195	языка но	4	2
196	слова с	4	2
197	и здесь	2	2
198	материал и	3	2
199	нуждается в	2	2
200	к его	2	2
201	но как	2	2
202	во всем	4	2
203	в истории	11	2
204	проникает в	2	2
205	как это	3	2
206	оно может	2	2
207	в него	7	2
208	слово в	11	2
209	степени и	2	2
210	оно было	2	2
211	цели и	2	2
212	но лишь	2	2
213	с его	7	2
214	и более	2	2
215	единству и	2	2
216	не все	2	2
217	вовсе не	10	2
218	языка как	7	2
219	что он	2	2
220	и при	2	2
221	связи с	3	2
222	одна из	4	2
223	единство и	3	2
224	здесь в	3	2
225	она не	6	2
226	в некоторых	3	2
227	должен быть	2	2
228	что и	3	2
229	себя в	8	2
230	говорящий человек	21	2
231	всех сторон	2	2
232	язык в	6	2
233	человека в	5	2
234	в себя	2	2
235	как отношение	2	2
236	к своему	9	2
237	можно говорить	2	2
238	того чтобы	2	2
239	для того	2	2
240	слово и	5	2
241	приходится иметь	2	2
242	или в	2	2
243	на мир	2	2
244	в виде	2	2
245	этического и	2	2
246	в другом	2	2
247	материалу к	2	2
248	дело в	2	2
249	в чем	3	2
