N	2gram	Medvedev_U_1	Myshleni
1	в том	2	33
2	том что	2	27
3	то что	7	20
4	в этом	7	19
5	и в	14	15
6	не только	10	15
7	таким образом	2	14
8	что он	2	12
9	и т.д	3	12
10	в самом	2	11
11	но и	4	10
12	было бы	3	10
13	мы не	2	10
14	может быть	6	9
15	не может	7	9
16	что мы	2	9
17	не в	2	8
18	если бы	2	8
19	и не	8	7
20	по себе	2	7
21	в частности	3	6
22	в этой	4	6
23	с другой	4	6
24	но в	3	6
25	как и	3	6
26	самом деле	2	6
27	это не	3	5
28	по существу	2	5
29	то же	5	5
30	прежде всего	8	4
31	что все	2	4
32	все это	5	4
33	и с	2	4
34	в конечном	4	4
35	могли бы	2	4
36	с его	2	4
37	для всех	2	4
38	конечном счете	4	4
39	все же	3	4
40	в своей	3	4
41	как раз	2	4
42	хотя бы	5	4
43	только в	2	4
44	для этого	3	3
45	очевидно что	3	3
46	для него	3	3
47	смысле этого	2	3
48	и только	5	3
49	этом отношении	2	3
50	но не	2	3
51	бы и	2	3
52	что она	2	3
53	а не	10	3
54	вот почему	7	3
55	ничего не	2	3
56	не могут	2	2
57	могут быть	2	2
58	в некоторых	2	2
59	в их	4	2
60	не следует	3	2
61	же самое	2	2
62	думается что	2	2
63	этом смысле	2	2
64	в его	2	2
65	что и	2	2
66	и для	2	2
67	нас в	2	2
68	тем что	2	2
69	в себе	2	2
70	на эту	2	2
