N	2gram	Bakhtin_Fr_3	PoTuStor
1	может быть	9	17
2	и в	40	16
3	прежде всего	16	9
4	таким образом	10	9
5	в этом	15	9
6	и его	17	8
7	и с	8	8
8	точки зрения	2	8
9	не может	3	8
10	с его	3	7
11	сказать что	3	7
12	не только	13	7
13	и это	2	6
14	и к	3	6
15	самом деле	3	6
16	для него	5	6
17	при этом	3	6
18	конечно не	2	6
19	только для	3	5
20	отношение к	8	5
21	все эти	8	5
22	ни в	4	5
23	нуждается в	3	5
24	еще не	3	5
25	как бы	3	5
26	в нем	5	4
27	но и	11	4
28	так и	3	4
29	все это	4	4
30	хотя бы	2	4
31	и все	9	4
32	так как	4	4
33	и не	13	4
34	на самом	3	4
35	как мы	10	4
36	и ее	2	4
37	можно сказать	2	4
38	и наконец	3	4
39	и даже	4	4
40	и на	8	4
41	в этой	3	4
42	все что	2	4
43	только в	3	4
44	в один	2	4
45	но в	8	4
46	в его	13	4
47	во время	8	3
48	мы знаем	2	3
49	в этих	6	3
50	по сравнению	2	3
51	что в	12	3
52	жизни и	4	3
53	и есть	3	3
54	во всех	6	3
55	и др	7	3
56	вместе с	3	3
57	сих пор	4	3
58	сравнению с	2	3
59	в одном	7	3
60	те же	5	3
61	и вот	2	3
62	в том	8	3
63	а в	3	3
64	том что	4	3
65	и как	3	3
66	то что	5	3
67	их в	3	3
68	в основе	5	3
69	на этом	2	3
70	только на	4	3
71	в области	4	3
72	в основном	4	3
73	и потому	4	3
74	до сих	4	3
75	между ними	3	3
76	и этот	2	2
77	не менее	2	2
78	поэтому и	3	2
79	один из	4	2
80	что и	3	2
81	другими словами	3	2
82	в частности	3	2
83	для этого	3	2
84	в них	9	2
85	того же	2	2
86	во всей	3	2
87	и так	2	2
88	из этих	2	2
89	с этим	2	2
90	то же	7	2
91	с нею	2	2
92	к этому	6	2
93	на них	2	2
94	и других	6	2
95	с помощью	2	2
96	что он	2	2
97	мы не	2	2
98	и т.п	10	2
99	у него	8	2
100	и для	5	2
101	в этот	2	2
102	как и	11	2
103	на основе	2	2
104	они не	3	2
105	своей жизни	2	2
106	мы видим	5	2
107	но это	3	2
108	мы уже	13	2
109	он не	9	2
110	образов и	2	2
111	есть и	2	2
112	характерно для	2	2
113	момент в	2	2
114	в начале	3	2
115	на протяжении	3	2
116	было бы	4	2
117	со всеми	5	2
118	все то	2	2
119	связанные с	3	2
120	но ведь	3	2
121	о том	4	2
122	в самом	6	2
123	но как	2	2
124	в своей	6	2
125	и о	4	2
