N	2gram	Losev_Dial_2	Russkaja
1	не может	9	22
2	и не	30	19
3	в том	14	17
4	в этом	8	17
5	и в	19	14
6	то что	14	13
7	таким образом	4	11
8	то же	12	11
9	точки зрения	12	11
10	же время	5	10
11	но и	12	10
12	в то	6	10
13	том что	10	9
14	не только	19	9
15	в себе	15	9
16	с точки	8	9
17	может быть	20	9
18	во всяком	2	9
19	прежде всего	8	8
20	отнюдь не	6	7
21	к тому	2	7
22	и если	4	7
23	не будет	2	7
24	самом деле	4	7
25	в данном	3	7
26	мы должны	2	7
27	о том	5	7
28	и с	5	7
29	на самом	2	6
30	что он	6	6
31	и к	7	6
32	и при	2	6
33	с тем	2	6
34	всяком случае	2	6
35	если в	2	6
36	все это	4	6
37	в своем	4	6
38	в своих	2	6
39	хотя бы	4	5
40	вопрос о	3	5
41	при этом	4	5
42	до сих	2	5
43	было бы	3	5
44	конечно не	6	5
45	в своей	8	5
46	он не	4	5
47	никогда не	9	5
48	в нем	10	5
49	сих пор	2	5
50	во всех	2	5
51	и только	4	5
52	а потому	2	5
53	а в	4	5
54	потому что	14	5
55	только в	5	5
56	между тем	2	5
57	но не	6	4
58	не могут	4	4
59	что в	7	4
60	тогда когда	6	4
61	в мире	2	4
62	как и	10	4
63	более или	2	4
64	в другое	2	4
65	когда они	2	4
66	как бы	14	4
67	себе и	3	4
68	все же	4	4
69	себя в	2	4
70	жизни и	6	4
71	вместе с	2	4
72	от того	4	4
73	или менее	2	4
74	что же	2	4
75	в их	2	4
76	не в	8	4
77	и то	7	4
78	в этой	3	4
79	его в	3	4
80	так как	14	4
81	может не	4	3
82	что это	10	3
83	можно ли	3	3
84	именно в	2	3
85	что бы	2	3
86	в конце	2	3
87	с нею	3	3
88	всех этих	3	3
89	да и	6	3
90	и как	10	3
91	в другом	4	3
92	что они	6	3
93	так чтобы	2	3
94	должно быть	7	3
95	еще не	4	3
96	несмотря на	2	3
97	в самом	5	3
98	той или	4	3
99	и потому	5	3
100	но мы	2	3
101	то это	2	3
102	что и	5	3
103	не есть	47	3
104	и т	17	3
105	из них	3	3
106	данном случае	2	3
107	только к	2	3
108	не было	3	3
109	что оно	4	3
110	того что	6	3
111	и по	4	3
112	или в	2	3
113	тем что	2	3
114	в виде	2	3
115	говорить о	5	3
116	связи с	4	3
117	о котором	3	3
118	может только	2	3
119	зависит от	2	2
120	сама по	7	2
121	нисколько не	4	2
122	и более	3	2
123	должна быть	5	2
124	и есть	4	2
125	в частности	2	2
126	в меру	4	2
127	и от	3	2
128	с этим	3	2
129	ясно что	4	2
130	культуры и	2	2
131	по себе	18	2
132	бы ни	2	2
133	будет ли	2	2
134	ни в	10	2
135	уже не	3	2
136	так что	7	2
137	это есть	8	2
138	но это	7	2
139	есть и	6	2
140	что с	2	2
141	она не	8	2
142	совершенно не	7	2
143	в ней	2	2
144	в некоторых	2	2
145	быть и	4	2
146	ее в	2	2
147	– не	9	2
148	и тогда	3	2
149	тому что	2	2
150	это только	3	2
151	все эти	2	2
152	не просто	12	2
153	и вот	4	2
154	и что	5	2
155	а не	16	2
156	что такое	3	2
157	и даже	14	2
158	к нему	4	2
159	так же	2	2
160	в таком	4	2
161	в результате	2	2
162	их в	2	2
163	в силу	5	2
164	мы уже	8	2
165	во время	2	2
166	и человек	2	2
167	того или	2	2
168	как будто	7	2
169	в этих	3	2
170	с ним	4	2
171	и должно	2	2
172	в области	2	2
173	но в	2	2
