N	2gram	Propp_Isto_6	Russkaja
1	не может	6	22
2	и не	10	19
3	в том	12	17
4	в этом	12	17
5	и в	26	14
6	то что	6	13
7	таким образом	12	11
8	то же	5	11
9	но и	9	10
10	в то	5	10
11	том что	10	9
12	не только	10	9
13	в себе	3	9
14	может быть	11	9
15	во всяком	2	9
16	прежде всего	4	8
17	как на	3	8
18	к тому	2	7
19	не будет	5	7
20	в данном	3	7
21	самого себя	2	7
22	мы должны	2	7
23	о том	7	7
24	и с	6	7
25	если бы	3	6
26	что он	9	6
27	с тем	4	6
28	всяком случае	2	6
29	в своем	2	6
30	в своих	3	6
31	вопрос о	3	5
32	на то	2	5
33	и на	12	5
34	при этом	3	5
35	до сих	4	5
36	было бы	2	5
37	в своей	3	5
38	он не	2	5
39	никогда не	13	5
40	в нем	8	5
41	сих пор	4	5
42	и только	3	5
43	из которых	3	5
44	а в	3	5
45	потому что	13	5
46	только в	5	5
47	но не	2	4
48	что в	12	4
49	как и	5	4
50	все что	4	4
51	как бы	4	4
52	все же	8	4
53	жизни и	2	4
54	вместе с	8	4
55	со стороны	3	4
56	от того	3	4
57	что же	2	4
58	на земле	4	4
59	не в	3	4
60	можно было	2	4
61	и то	3	4
62	в этой	2	4
63	в его	5	4
64	его в	5	4
65	так как	18	4
66	что это	2	3
67	на том	8	3
68	из этих	4	3
69	главным образом	3	3
70	таким же	3	3
71	этом случае	6	3
72	и как	2	3
73	что они	2	3
74	в качестве	3	3
75	еще не	9	3
76	знаем что	2	3
77	но мы	2	3
78	то это	5	3
79	что и	4	3
80	не есть	2	3
81	и т	10	3
82	данном случае	3	3
83	борьбе с	2	3
84	не было	3	3
85	что оно	4	3
86	и сейчас	2	3
87	сводится к	2	3
88	того что	2	3
89	и по	4	3
90	или в	3	3
91	приходит к	3	3
92	тем что	5	3
93	в виде	6	3
94	о котором	2	3
95	из этого	3	3
96	одна из	2	3
97	а с	2	2
98	зависит от	4	2
99	должна быть	3	2
100	в частности	3	2
101	у него	7	2
102	и от	3	2
103	с этим	2	2
104	у народов	6	2
105	точно так	2	2
106	так часто	2	2
107	к себе	2	2
108	ни в	2	2
109	уже не	7	2
110	так что	3	2
111	но это	4	2
112	от него	3	2
113	именно на	2	2
114	есть и	4	2
115	отличается от	2	2
116	она не	3	2
117	но для	2	2
118	в ней	5	2
119	приводят к	3	2
120	и тем	4	2
121	на этой	2	2
122	для нас	2	2
123	в некоторых	2	2
124	ее в	6	2
125	целый ряд	2	2
126	по отношению	2	2
127	тогда как	2	2
128	все эти	8	2
129	и вот	3	2
130	и что	5	2
131	тем самым	2	2
132	а не	2	2
133	и наконец	3	2
134	не так	2	2
135	так же	2	2
136	в других	4	2
137	и те	2	2
138	людей и	2	2
139	их в	3	2
140	мы можем	7	2
141	мы уже	6	2
142	если они	3	2
143	как будто	3	2
144	в этих	2	2
145	с ним	8	2
146	отметить что	2	2
147	но в	7	2
