N	2gram	Vinokur_Ku_1	Sotsiolo
1	все это	6	7
2	в том	30	5
3	в этом	14	5
4	не в	11	3
5	для нас	2	3
6	но ведь	2	3
7	в его	12	3
8	и в	24	3
9	не только	10	3
10	по отношению	8	2
11	еще не	5	2
12	было бы	15	2
13	только в	11	2
14	нужно было	2	2
15	по существу	4	2
16	это и	4	2
17	и мы	2	2
18	таким образом	12	2
19	том что	21	2
20	то же	8	2
21	отношению к	9	2
22	то что	9	2
23	тем более	2	2
24	может быть	13	2
25	в результате	5	2
26	в частности	4	2
27	и что	5	2
28	но и	6	2
29	дело не	2	2
30	очевидно что	3	2
31	в смысле	2	2
32	к которому	3	2
33	как бы	7	2
34	должна быть	3	2
35	исторической жизни	2	2
36	что в	17	2
