N	2gram	Vinokur_Ku_2	Otkroven
1	у него	3	22
2	и в	23	19
3	но и	7	13
4	и не	16	13
5	в этом	18	12
6	а не	10	11
7	не в	8	11
8	может быть	15	11
9	не только	20	11
10	и все	2	10
11	вопрос о	9	10
12	в нем	4	10
13	никогда не	2	9
14	не было	4	9
15	в самой	2	9
16	потому что	25	9
17	прежде всего	8	9
18	лишь в	5	7
19	до конца	3	7
20	он не	3	7
21	в его	5	7
22	все это	5	6
23	как и	2	6
24	то что	9	5
25	а в	3	5
26	достоевского и	2	5
27	в том	19	5
28	в этой	6	5
29	в самом	12	5
30	т е	22	4
31	того чтобы	11	4
32	что не	6	4
33	и его	3	4
34	все эти	12	4
35	не может	9	4
36	что в	10	4
37	к нему	2	3
38	не могут	5	3
39	и есть	2	3
40	это не	6	3
41	и вот	5	3
42	что он	5	3
43	различие между	3	3
44	того что	3	3
45	для того	9	3
46	хотя бы	9	3
47	в своих	2	3
48	еще не	5	3
49	и от	2	3
50	могут быть	4	3
51	было бы	15	3
52	как бы	4	3
53	уже в	3	2
54	все же	7	2
55	что и	3	2
56	и для	2	2
57	с тем	2	2
58	можно ли	4	2
59	всего в	3	2
60	так и	4	2
61	в своем	2	2
62	что у	2	2
63	что же	5	2
64	не все	3	2
65	что все	5	2
66	к этому	4	2
67	по себе	10	2
68	не имеет	4	2
69	должно быть	4	2
70	что для	2	2
71	их не	2	2
72	том что	11	2
73	в другом	2	2
74	и на	6	2
75	и то	5	2
76	что они	2	2
77	сказать что	4	2
78	и с	7	2
79	чем в	3	2
80	тем что	3	2
81	даже и	2	2
82	в своей	2	2
83	так как	15	2
84	и о	4	2
85	к этой	3	2
86	ничего не	4	2
87	хотя и	4	2
88	но в	11	2
89	и потому	2	2
