N	2gram	Berdyaev_N_1	Problemy
1	и в	16	46
2	и не	11	27
3	может быть	7	23
4	не может	16	19
5	в нем	5	17
6	в этом	7	16
7	не только	5	14
8	и т.п	2	14
9	но и	3	12
10	как и	7	12
11	и на	2	11
12	а не	17	11
13	не в	6	10
14	прежде всего	4	9
15	в том	8	9
16	и все	4	9
17	и к	5	9
18	конечно не	3	8
19	и с	2	7
20	еще не	3	7
21	в себе	2	7
22	никогда не	6	6
23	ни в	6	6
24	но это	6	6
25	есть в	2	6
26	хотя и	2	6
27	но в	2	6
28	все это	5	6
29	это не	4	5
30	жизни и	8	5
31	ведь и	2	5
32	в то	2	5
33	в жизни	5	5
34	с его	6	5
35	у него	2	5
36	за пределы	3	5
37	о том	4	5
38	во всех	3	5
39	что в	9	4
40	к ним	3	4
41	все эти	2	4
42	должно быть	4	4
43	потому что	4	4
44	мы не	2	4
45	не знает	6	4
46	как в	3	4
47	том что	2	4
48	но не	2	4
49	он не	8	4
50	то что	4	4
51	так и	2	4
52	уже не	2	4
53	с другой	3	3
54	человека и	3	3
55	в мире	3	3
56	такой же	2	3
57	но для	2	3
58	и для	4	3
59	не к	2	3
60	другой стороны	2	3
61	так же	2	3
62	и даже	2	3
63	с ее	5	3
64	по существу	2	3
65	и что	2	3
66	она не	3	3
67	в своей	3	3
68	себя в	2	3
69	в центре	2	3
70	и это	2	3
71	жизни не	3	2
72	не менее	4	2
73	должна быть	3	2
74	для этого	2	2
75	мысли и	2	2
76	вопрос о	3	2
77	к тому	3	2
78	все время	2	2
79	же как	2	2
80	времени и	2	2
81	смысле слова	3	2
82	но она	2	2
83	к жизни	3	2
84	не было	4	2
85	лишь в	6	2
86	а в	2	2
87	сказать что	3	2
88	с этим	2	2
89	в духе	3	2
90	этом смысле	2	2
91	одна из	2	2
92	нет и	2	2
93	и пр	3	2
94	вместе с	2	2
95	что такое	3	2
96	хотя бы	2	2
97	можно было	2	2
98	могут быть	2	2
99	не могли	2	2
