N	2gram	Tiupa_Teor_1	Psycholo
1	и в	18	38
2	то что	3	35
3	в том	16	25
4	в самом	4	25
5	что в	9	20
6	может быть	17	19
7	и что	3	18
8	что она	2	16
9	точки зрения	9	16
10	то есть	12	15
11	если бы	3	14
12	том что	9	14
13	как бы	5	14
14	потому что	3	14
15	в этой	3	13
16	в этом	8	13
17	не только	16	12
18	таким образом	3	12
19	не в	7	12
20	то же	7	10
21	и не	13	10
22	с точки	3	9
23	перед нами	2	8
24	в одном	2	8
25	вовсе не	3	8
26	как и	4	8
27	и как	2	8
28	говорит что	2	8
29	как раз	2	8
30	и то	2	8
31	и это	2	8
32	с другой	7	7
33	в ее	5	7
34	а не	9	7
35	не может	4	7
36	может служить	2	7
37	а в	13	7
38	заключается в	2	7
39	между тем	5	7
40	и здесь	2	6
41	к тому	2	6
42	один из	2	6
43	тому что	2	6
44	он не	3	6
45	с одной	2	6
46	если мы	2	6
47	к чему	2	6
48	как это	8	6
49	и его	8	6
50	я не	2	5
51	казалось бы	2	5
52	в своем	4	5
53	в какой	2	5
54	одной стороны	2	5
55	иначе говоря	4	5
56	в своей	6	5
57	вместе с	2	5
58	но и	9	5
59	другой стороны	5	5
60	в той	2	5
61	или в	3	5
62	в другом	3	5
63	в его	6	5
64	могли бы	2	5
65	в которой	2	5
66	никогда не	4	4
67	в свою	3	4
68	по своему	2	4
69	при этом	12	4
70	и для	2	4
71	в самой	2	4
72	в нем	4	4
73	что и	2	4
74	ее в	2	4
75	в целом	3	4
76	как в	5	4
77	все эти	2	4
78	того что	4	4
79	и даже	2	4
80	сказать что	3	4
81	только в	6	4
82	как будто	2	4
83	в себе	9	4
84	на деле	2	4
85	в виду	5	4
86	место в	5	3
87	в них	2	3
88	из этих	3	3
89	и к	3	3
90	ни в	2	3
91	того же	3	3
92	и о	4	3
93	в основе	3	3
94	все это	2	3
95	всякий раз	2	3
96	и тем	3	3
97	состоит в	17	3
98	далеко не	2	3
99	в то	6	3
100	могла бы	2	3
101	его в	2	3
102	но в	9	3
103	в данном	8	2
104	не могут	2	2
105	русской поэзии	2	2
106	и другие	2	2
107	была бы	3	2
108	в этих	3	2
109	отнюдь не	3	2
110	между собой	3	2
111	и одновременно	4	2
112	в глаза	2	2
113	столь же	2	2
114	и ее	3	2
115	уже не	4	2
116	у нас	2	2
117	своей жизни	2	2
118	есть в	2	2
119	свою очередь	2	2
120	для него	2	2
121	от своего	2	2
122	со своей	3	2
123	в первой	5	2
124	мы в	2	2
125	и который	2	2
126	но он	3	2
127	по преимуществу	4	2
128	совпадает с	3	2
129	с ее	3	2
130	дело не	2	2
131	данном случае	5	2
132	со стороны	2	2
133	видим в	2	2
134	имеет место	2	2
135	так же	2	2
136	отношения к	2	2
137	а с	3	2
138	и вот	3	2
139	для читателя	2	2
140	и больше	2	2
141	и по	2	2
142	в качестве	24	2
143	в конце	2	2
144	их в	3	2
145	все прочие	3	2
146	к его	2	2
147	как к	2	2
148	представляет собой	9	2
149	этого слова	3	2
150	в русской	6	2
