N	2gram	Medvedev_U_1	Problema
1	то что	7	42
2	и в	14	32
3	и не	8	31
4	не есть	2	29
5	в этом	7	19
6	не только	10	17
7	по себе	2	15
8	а не	10	15
9	в себе	2	15
10	может быть	6	14
11	у нас	3	14
12	но в	3	14
13	что мы	2	13
14	как раз	2	13
15	том что	2	12
16	то же	5	10
17	прежде всего	8	10
18	в этой	4	10
19	ничего не	2	10
20	но не	2	9
21	в том	2	9
22	но и	4	9
23	же самое	2	9
24	не может	7	8
25	даже и	2	8
26	было бы	3	8
27	в своей	3	8
28	но это	2	8
29	и является	2	7
30	все это	5	7
31	всех этих	2	7
32	что он	2	7
33	тем что	2	7
34	только в	2	7
35	в конце	2	6
36	в самом	2	6
37	таким образом	2	6
38	это не	3	6
39	и то	3	6
40	о чем	2	6
41	этом смысле	2	6
42	в то	3	6
43	в его	2	6
44	самом деле	2	6
45	что такое	4	6
46	что она	2	5
47	не в	2	4
48	мы и	2	4
49	в их	4	4
50	и только	5	4
51	этого термина	2	4
52	именно как	2	4
53	конце концов	2	4
54	если бы	2	4
55	литературы и	2	4
56	если не	2	4
57	и для	2	4
58	с другой	4	3
59	что все	2	3
60	хотя бы	5	3
61	другой стороны	3	3
62	для этого	3	3
63	в буквальном	2	3
64	тех или	2	3
65	в искусстве	6	3
66	сколько угодно	2	3
67	как и	3	3
68	до сих	2	3
69	сих пор	2	3
70	мы получаем	2	3
71	не могут	2	2
72	крайней мере	2	2
73	для него	3	2
74	не о	3	2
75	этой области	3	2
76	как такового	3	2
77	и с	2	2
78	не как	3	2
79	между тем	2	2
80	с его	2	2
81	могут быть	2	2
82	по крайней	2	2
83	или иных	2	2
84	на первый	2	2
85	по существу	2	2
86	мы не	2	2
87	нас в	2	2
88	является в	2	2
89	вопроса о	2	2
90	в области	3	2
91	это было	2	2
