N	2gram	Tiupa_Lite_3	Mirosoze
1	может быть	12	30
2	не только	14	29
3	и в	16	28
4	не может	8	28
5	человеческого духа	3	26
6	но и	14	25
7	а не	12	25
8	в этом	14	20
9	не в	10	16
10	потому что	3	16
11	в своей	7	15
12	никогда не	4	14
13	до конца	4	14
14	в нем	2	13
15	человека в	2	13
16	для него	2	11
17	в самом	3	11
18	и не	22	11
19	что в	2	10
20	свободы и	2	10
21	в мире	16	10
22	прежде всего	3	10
23	что он	5	10
24	было бы	2	10
25	и потому	2	10
26	в его	6	9
27	и его	6	9
28	но не	4	8
29	в глубине	2	8
30	быть может	2	7
31	того что	9	7
32	в конце	2	7
33	но в	3	7
34	в себе	6	7
35	в том	12	6
36	в этой	8	6
37	лишь в	5	6
38	и на	2	6
39	вместе с	5	6
40	только в	7	6
41	это не	5	5
42	мира и	2	5
43	у нас	2	5
44	как и	5	5
45	то что	12	5
46	русской литературы	2	5
47	с этой	2	4
48	не знает	2	4
49	и вместе	2	4
50	отношение к	2	4
51	ни с	2	4
52	отношения к	3	4
53	а в	5	4
54	точки зрения	7	4
55	не как	2	4
56	один из	2	4
57	xix века	2	4
58	что и	2	4
59	уже не	3	4
60	тем что	2	4
61	себя и	2	3
62	и вот	2	3
63	к тому	6	3
64	должно быть	4	3
65	его в	2	3
66	в иных	3	3
67	то есть	5	3
68	и с	2	3
69	с его	6	3
70	одно из	4	3
71	в жизни	8	3
72	в ее	5	3
73	том что	8	3
74	этот путь	2	3
75	себя в	7	3
76	когда он	2	3
77	бы и	3	3
78	место в	4	2
79	вопрос о	2	2
80	него не	2	2
81	в свою	2	2
82	о чем	3	2
83	для того	2	2
84	одним из	4	2
85	жизни и	3	2
86	по отношению	4	2
87	быть не	2	2
88	он и	2	2
89	в начале	4	2
90	по своей	3	2
91	как бы	8	2
92	о том	6	2
93	в основе	5	2
94	с которой	2	2
95	если бы	2	2
96	жизни в	4	2
97	личности в	3	2
98	к этому	2	2
99	отношению к	4	2
100	в то	9	2
101	как будто	4	2
102	и к	3	2
103	о нем	2	2
104	еще в	3	2
105	все же	2	2
106	с ней	2	2
107	как в	5	2
108	входит в	4	2
109	того чтобы	2	2
110	и как	3	2
111	и для	4	2
112	он в	2	2
113	эти слова	2	2
