N	2gram	Nazirov_Tv_1	StatiiOP
1	и в	21	25
2	в этом	6	24
3	у пушкина	2	22
4	в том	7	20
5	что в	12	19
6	что он	6	19
7	может быть	5	19
8	том что	11	15
9	в этой	5	14
10	в его	13	12
11	то что	8	12
12	не только	7	12
13	в этих	2	11
14	так что	2	11
15	прежде всего	4	10
16	таким образом	5	10
17	и не	7	10
18	у него	7	9
19	но и	3	9
20	и т	3	8
21	все это	10	8
22	в своих	5	8
23	о том	6	8
24	это не	4	7
25	не может	4	7
26	в то	15	7
27	место в	3	6
28	не в	2	6
29	только в	5	6
30	как бы	17	6
31	как в	8	6
32	а в	6	6
33	и на	7	6
34	т п	2	6
35	в русской	5	6
36	в россии	3	6
37	то же	13	5
38	потому что	5	5
39	с другой	3	5
40	об этом	2	5
41	говорит что	2	5
42	в котором	6	5
43	в году	7	5
44	а не	5	5
45	того что	3	5
46	он не	8	5
47	так и	2	5
48	но в	7	5
49	по крайней	2	4
50	в жизни	2	4
51	в каждом	3	4
52	это в	3	4
53	а как	2	4
54	крайней мере	2	4
55	как и	12	4
56	но это	5	4
57	то в	2	4
58	на протяжении	3	4
59	в качестве	2	4
60	можно сказать	2	4
61	на его	3	4
62	он говорит	3	4
63	в ней	2	4
64	к ней	2	4
65	и тем	2	4
66	в своей	4	4
67	в целом	4	4
68	в чем	2	4
69	и с	3	4
70	сказать что	2	4
71	все же	5	4
72	xix века	6	4
73	в которой	3	4
74	что все	3	3
75	уже в	3	3
76	с его	11	3
77	к этому	2	3
78	же время	12	3
79	с которым	2	3
80	его как	2	3
81	для него	6	3
82	что я	3	3
83	до конца	2	3
84	и наконец	2	3
85	на эти	2	3
86	своего рода	4	3
87	в их	3	3
88	и далее	2	3
89	по мнению	3	3
90	в в	2	3
91	уже не	3	3
92	не так	3	3
93	и его	6	3
94	что для	2	3
95	в рассказе	3	3
96	связан с	3	3
97	в виде	3	3
98	но он	2	3
99	так как	3	3
100	в творчестве	6	3
101	я и	3	3
102	во многом	7	2
103	не был	3	2
104	при помощи	2	2
105	не менее	6	2
106	все более	2	2
107	никогда не	3	2
108	в стихах	2	2
109	и у	2	2
110	не столько	2	2
111	в одной	2	2
112	одного из	2	2
113	в духе	2	2
114	вовсе не	5	2
115	самого начала	3	2
116	к тому	2	2
117	а по	2	2
118	что его	2	2
119	он чувствует	2	2
120	такой же	2	2
121	но не	3	2
122	времени и	4	2
123	того же	2	2
124	в свою	7	2
125	одной из	4	2
126	в самом	3	2
127	одна из	2	2
128	в виду	2	2
129	если в	2	2
130	гораздо более	2	2
131	один из	4	2
132	здесь нет	2	2
133	тем не	2	2
134	вместе с	2	2
135	дело не	3	2
136	ее в	3	2
137	нет не	2	2
138	только что	2	2
139	с ее	3	2
140	и других	3	2
141	него есть	2	2
142	мы находим	2	2
143	не мог	2	2
144	самом деле	2	2
145	с самого	3	2
146	что не	2	2
147	и по	3	2
148	той же	3	2
149	или в	2	2
150	ни на	3	2
151	могут быть	2	2
152	известно что	2	2
153	так сказать	2	2
154	то есть	12	2
