N	2gram	Ircho_Kome_2	DiskursI
1	в качестве	5	34
2	не только	7	28
3	в том	11	23
4	том что	9	19
5	может быть	11	17
6	и в	26	16
7	как и	4	16
8	в этом	10	15
9	еще не	6	14
10	но и	10	14
11	прежде всего	4	11
12	но не	3	11
13	и не	14	11
14	с другой	2	10
15	как в	3	10
16	в частности	4	9
17	в нем	6	9
18	отношению к	3	9
19	одной стороны	2	9
20	по отношению	3	9
21	не может	3	9
22	с одной	2	9
23	отнюдь не	2	8
24	так и	12	8
25	о том	6	8
26	но в	3	8
27	в его	4	7
28	со стороны	2	7
29	то же	3	7
30	не было	3	7
31	роль в	2	7
32	только в	4	7
33	не в	2	7
34	в своем	6	6
35	к тому	12	5
36	тому же	11	5
37	в силу	2	5
38	как бы	2	5
39	в котором	3	5
40	в своей	3	5
41	то что	6	5
42	во всех	3	5
43	в отличие	2	5
44	а в	3	5
45	в их	3	5
46	отличие от	2	5
47	и на	7	5
48	с его	5	4
49	что в	9	4
50	не является	2	4
51	в них	4	4
52	и к	2	4
53	что он	5	4
54	в истории	5	4
55	в целом	4	4
56	же время	3	4
57	одной из	4	4
58	связи с	3	4
59	отношение к	2	4
60	потому что	6	4
61	между тем	4	4
62	как правило	3	4
63	однако в	2	3
64	того же	3	3
65	столь же	9	3
66	это не	2	3
67	в одной	2	3
68	что и	7	3
69	в ее	2	3
70	по своему	2	3
71	с этим	5	3
72	в действительности	2	3
73	в самом	4	3
74	еще в	4	3
75	или на	2	3
76	один из	5	3
77	хотя бы	2	3
78	все же	4	3
79	из них	7	3
80	как не	2	3
81	ли не	7	3
82	таким образом	6	3
83	тем что	3	3
84	точки зрения	4	3
85	в то	6	3
86	в первом	2	3
87	мира в	4	3
88	одновременно с	2	2
89	не менее	4	2
90	и есть	2	2
91	том числе	3	2
92	в какой	2	2
93	представления о	2	2
94	и во	2	2
95	и все	2	2
96	в одном	2	2
97	в каждом	3	2
98	к этому	5	2
99	не всегда	2	2
100	не более	2	2
101	в тех	3	2
102	об этом	2	2
103	к его	2	2
104	в г	17	2
105	в построении	2	2
106	в античной	2	2
107	на этом	2	2
108	своего времени	2	2
109	в начале	4	2
110	на сцене	2	2
111	в принципе	2	2
112	одним из	2	2
113	хотя и	4	2
114	частности в	2	2
115	например в	3	2
116	говоря уже	2	2
117	себя в	3	2
118	целый ряд	2	2
119	дело с	3	2
120	уже в	4	2
121	человека в	3	2
122	то ли	2	2
123	как мы	4	2
124	и что	2	2
125	более чем	4	2
126	х годов	2	2
127	времени в	2	2
128	и его	12	2
129	или в	3	2
130	не следует	2	2
131	здесь в	3	2
132	во всяком	2	2
133	мы имеем	2	2
134	следует признать	2	2
135	что касается	3	2
136	на себя	7	2
137	и ее	2	2
138	на протяжении	10	2
139	могла бы	3	2
140	не говоря	2	2
141	в этой	3	2
142	уже о	2	2
143	едва ли	14	2
144	в виду	2	2
145	о чем	3	2
146	это было	4	2
