N	3gram	Vygotskiy__4	Psycholo
1	для того чтобы	5	19
2	в том что	31	12
3	о том что	3	10
4	в самом деле	6	7
5	то же самое	7	6
6	на то что	4	6
7	с точки зрения	11	4
8	можно было бы	5	4
9	друг с другом	7	4
10	смысле этого слова	7	3
11	так же как	5	3
12	точно так же	3	3
13	во всяком случае	3	3
14	с одной стороны	9	3
15	в том чтобы	2	3
16	и что в	2	3
17	заключается в том	14	3
18	с таким образом	3	2
19	и той же	4	2
20	мы видим что	2	2
21	вместе с тем	3	2
22	с другой стороны	8	2
23	не только не	5	2
24	таким образом что	4	2
25	речь идет о	3	2
26	одной и той	4	2
