N	2gram	Propp_Morf_1	Formalny
1	и в	13	38
2	в этом	14	27
3	т е	21	26
4	может быть	52	23
5	и пр	37	21
6	таким образом	21	20
7	и не	12	20
8	прежде всего	9	15
9	не в	3	15
10	и т	41	14
11	не может	14	14
12	но и	4	13
13	связи с	10	13
14	в пределах	3	12
15	с его	2	11
16	с тем	2	11
17	в том	6	11
18	вовсе не	4	11
19	в связи	9	10
20	как и	3	9
21	не только	4	9
22	что и	7	8
23	все же	7	8
24	так и	6	8
25	самом деле	4	8
26	тем что	4	8
27	точки зрения	2	8
28	что в	8	7
29	не могут	4	7
30	по существу	12	7
31	во втором	3	7
32	в других	3	7
33	как мы	6	7
34	уже не	2	7
35	с точки	2	7
36	в первом	3	7
37	в результате	7	6
38	то что	8	6
39	и ее	3	6
40	в этой	2	6
41	было бы	3	6
42	то же	7	6
43	все эти	2	6
44	а не	11	6
45	могут быть	16	6
46	он не	3	6
47	только в	2	6
48	а в	7	6
49	хотя бы	4	6
50	если бы	2	5
51	что он	4	5
52	это и	2	5
53	во всех	4	5
54	если мы	5	5
55	что же	2	5
56	с этим	11	5
57	т д	39	5
58	и для	2	5
59	говорить о	3	5
60	в то	3	5
61	во всяком	2	5
62	всяком случае	2	5
63	независимо от	3	4
64	оно не	2	4
65	к этому	3	4
66	к тому	4	4
67	что они	2	4
68	в большинстве	3	4
69	в сущности	3	4
70	как таковое	2	4
71	как бы	3	4
72	и к	4	4
73	из них	3	4
74	в некоторых	3	4
75	как в	3	4
76	другой стороны	4	4
77	входит в	2	4
78	пр и	2	4
79	там где	5	4
80	здесь не	2	4
81	ничего не	4	4
82	так как	16	4
83	но в	2	4
84	если в	5	3
85	главным образом	4	3
86	и др	10	3
87	в какой	3	3
88	с другой	8	3
89	как таковой	2	3
90	и здесь	5	3
91	и как	5	3
92	но все	3	3
93	без всякой	2	3
94	например в	2	3
95	в ином	2	3
96	не является	3	3
97	то это	3	3
98	в целом	3	3
99	и их	2	3
100	быть и	2	3
101	на самом	4	3
102	большинстве случаев	3	3
103	к нему	3	3
104	того что	3	3
105	того чтобы	3	3
106	для того	2	3
107	мы не	8	3
108	или в	4	3
109	хотя и	3	3
110	его в	2	3
111	это было	3	3
112	сам он	3	2
113	и другие	6	2
114	состоит в	2	2
115	в этих	13	2
116	в качестве	5	2
117	тому что	4	2
118	перед нами	10	2
119	это не	6	2
120	в основу	2	2
121	приходим к	2	2
122	тем и	2	2
123	как таковая	2	2
124	в тех	6	2
125	на котором	3	2
126	том что	4	2
127	но это	6	2
128	то в	3	2
129	как их	2	2
130	поставить вопрос	2	2
131	но не	4	2
132	совсем не	3	2
133	или же	6	2
134	но как	2	2
135	она не	2	2
136	на первый	3	2
137	ни одна	4	2
138	не происходит	3	2
139	один из	5	2
140	и тем	2	2
141	с теми	4	2
142	не по	2	2
143	со стороны	3	2
144	даже не	3	2
145	приводит к	2	2
146	на этом	3	2
147	то ни	3	2
148	в в	2	2
149	не имеет	2	2
150	и по	2	2
151	и иных	2	2
152	это положение	2	2
153	вряд ли	2	2
154	этот вопрос	2	2
155	сказать что	2	2
156	между тем	5	2
157	эти функции	2	2
158	как например	2	2
159	мы приходим	2	2
160	если же	5	2
161	при помощи	9	2
162	что эта	2	2
163	и этим	5	2
164	потому что	3	2
165	как это	3	2
166	в которой	3	2
167	та же	2	2
168	если это	3	2
