N	2gram	Voloshinov_1	TeoriaLi
1	не только	7	18
2	и не	4	16
3	а в	3	14
4	в частности	2	13
5	и в	16	13
6	может быть	17	12
7	так и	4	12
8	при этом	6	11
9	в этом	9	11
10	в том	3	11
11	и его	8	10
12	в его	4	9
13	то же	2	9
14	в душе	2	8
15	сводится к	2	8
16	что в	3	8
17	но и	4	8
18	том что	3	7
19	точки зрения	8	7
20	только в	4	7
21	как это	3	7
22	с его	7	6
23	еще не	5	6
24	как бы	5	6
25	но в	4	6
26	как и	2	5
27	в пределах	2	5
28	между ними	3	5
29	в самом	2	5
30	в нем	4	5
31	он не	2	5
32	не менее	2	4
33	конечном счете	2	4
34	можно сказать	4	4
35	ни в	5	4
36	в конечном	3	4
37	в своей	2	4
38	то что	3	4
39	отношение к	5	4
40	и т.п	2	4
41	не может	8	4
42	сказать что	7	4
43	и ее	4	4
44	говорить о	2	4
45	не знает	2	4
46	мира и	3	4
47	художественного творчества	4	3
48	и др	3	3
49	никогда не	2	3
50	в этих	3	3
51	этом смысле	3	3
52	прежде всего	9	3
53	в итоге	2	3
54	и к	6	3
55	по своему	2	3
56	для него	6	3
57	и потому	3	3
58	на две	3	3
59	с ее	4	3
60	таким образом	9	3
61	и вот	3	3
62	и по	2	3
63	в основе	3	3
64	что можно	2	3
65	в этой	4	3
66	его в	4	3
67	все эти	5	3
68	могут быть	3	2
69	за пределы	2	2
70	себя и	2	2
71	между собой	2	2
72	того же	2	2
73	что он	2	2
74	но как	2	2
75	и как	3	2
76	а на	2	2
77	в большинстве	3	2
78	во всех	3	2
79	вместе с	3	2
80	не на	2	2
81	и для	2	2
82	и о	2	2
83	с точки	6	2
84	и даже	4	2
85	и притом	3	2
86	во всей	2	2
87	так же	2	2
88	их в	3	2
89	у него	2	2
90	о том	2	2
91	и это	6	2
92	в чем	5	2
93	отношения к	3	2
94	в области	3	2
95	я и	6	2
96	для меня	2	2
