N	2gram	Potebnia_M_4	VrazhdaK
1	не только	10	9
2	в этом	23	8
3	и что	7	8
4	и в	23	8
5	но и	11	7
6	что в	17	7
7	то что	29	7
8	и все	4	7
9	в котором	4	6
10	в нем	7	6
11	и даже	2	6
12	как и	14	6
13	но в	8	6
14	и с	4	6
15	то же	14	5
16	не было	12	5
17	и не	18	5
18	об этом	2	5
19	между тем	9	5
20	в то	4	5
21	же время	3	5
22	уже в	5	4
23	для нас	14	4
24	как бы	5	4
25	все это	5	4
26	это не	7	4
27	что он	4	4
28	так же	4	4
29	с ним	5	4
30	в своих	2	4
31	может быть	26	4
32	при этом	15	4
33	в истории	4	4
34	о том	8	4
35	в ней	2	4
36	в виду	3	4
37	я не	2	3
38	связи с	3	3
39	давно уже	3	3
40	в своем	8	3
41	что у	3	3
42	что есть	3	3
43	человека в	2	3
44	на то	7	3
45	и у	2	3
46	в том	23	3
47	и его	2	3
48	том что	12	3
49	и как	2	3
50	тем что	10	3
51	в его	5	3
52	его в	4	3
53	и о	4	3
54	он не	2	3
55	и это	2	2
56	не менее	5	2
57	никогда не	3	2
58	вместе с	6	2
59	в них	3	2
60	столь же	2	2
61	так в	3	2
62	не может	11	2
63	а в	5	2
64	тогда как	4	2
65	таким образом	24	2
66	но это	3	2
67	там же	3	2
68	в той	4	2
69	уже не	3	2
70	с которым	2	2
71	с точки	3	2
72	как же	4	2
73	в глазах	2	2
74	тем более	5	2
75	что я	11	2
76	и то	5	2
77	их в	3	2
78	точки зрения	4	2
79	в свою	2	2
80	в себе	14	2
81	отношение к	2	2
82	для него	5	2
83	еще не	3	2
84	во время	2	2
85	в это	2	2
86	при помощи	3	2
87	в мире	2	2
88	с нею	3	2
89	к ним	2	2
90	том же	2	2
91	нашего времени	3	2
