N	2gram	Tiupa_Disk_2	FransuaR
1	и в	16	45
2	то есть	12	25
3	и т.п	12	16
4	и не	15	15
5	не только	10	14
6	в этом	16	14
7	но в	11	14
8	в его	3	13
9	и его	3	13
10	как бы	4	12
11	что в	5	12
12	в своем	5	11
13	то же	6	11
14	в то	5	11
15	прежде всего	7	10
16	в том	8	10
17	в нем	7	10
18	но и	11	10
19	как и	16	10
20	и с	2	10
21	же время	5	9
22	в ней	2	8
23	жизни и	3	8
24	мира и	4	8
25	с его	6	7
26	том что	10	7
27	не в	3	7
28	что и	2	7
29	все это	2	7
30	также и	3	7
31	потому что	4	7
32	и все	3	7
33	что он	2	6
34	в этой	4	6
35	он не	3	6
36	здесь не	2	6
37	так и	9	6
38	в них	3	6
39	но это	3	5
40	например в	3	5
41	с ее	2	5
42	не может	9	5
43	этом отношении	4	5
44	все эти	3	5
45	в себя	2	5
46	и как	3	5
47	и на	5	5
48	его в	3	5
49	перед нами	3	4
50	же как	2	4
51	такой же	2	4
52	но не	7	4
53	здесь в	3	4
54	своего рода	10	4
55	а также	8	4
56	а не	14	4
57	как на	3	4
58	а в	2	4
59	той же	2	4
60	в основе	4	4
61	точки зрения	4	4
62	только в	3	4
63	о том	4	4
64	и это	2	4
65	не менее	7	3
66	как в	8	3
67	это не	3	3
68	из этих	3	3
69	в одном	4	3
70	в пределе	3	3
71	что на	2	3
72	ни в	7	3
73	есть в	2	3
74	того же	2	3
75	для него	5	3
76	в своей	6	3
77	вместе с	2	3
78	но она	3	3
79	и прежде	2	3
80	и одновременно	2	3
81	не было	3	3
82	именно в	2	3
83	и для	2	3
84	этой традиции	2	3
85	в другом	3	3
86	дело в	2	3
87	о чем	2	3
88	тут же	2	2
89	жизни в	3	2
90	говорить о	2	2
91	это в	2	2
92	к этому	4	2
93	можно сказать	3	2
94	отличие от	12	2
95	то что	5	2
96	в пределах	4	2
97	в качестве	16	2
98	в большинстве	2	2
99	из важнейших	2	2
100	может быть	16	2
101	еще в	3	2
102	все же	6	2
103	в целом	2	2
104	данном случае	6	2
105	в отличие	12	2
106	при этом	17	2
107	чем не	2	2
108	в период	4	2
109	становления и	3	2
110	и наконец	3	2
111	с точки	2	2
112	роль в	4	2
113	не подлежит	2	2
114	в данном	7	2
115	не столько	3	2
116	между тем	2	2
117	одно из	4	2
