N	2gram	Propp_Isto_3	VrazhdaK
1	не только	14	9
2	в этом	17	8
3	и что	2	8
4	и в	22	8
5	но и	12	7
6	что в	15	7
7	то что	7	7
8	и все	3	7
9	в котором	2	6
10	в нем	9	6
11	все же	5	6
12	и даже	2	6
13	как и	3	6
14	но в	10	6
15	и с	4	6
16	то же	6	5
17	не было	2	5
18	и не	12	5
19	у него	3	5
20	между тем	2	5
21	в то	2	5
22	для нас	4	4
23	целый ряд	3	4
24	это не	6	4
25	что он	9	4
26	так же	3	4
27	может быть	11	4
28	при этом	2	4
29	о том	3	4
30	в ней	2	4
31	в этот	2	3
32	я не	3	3
33	и уже	2	3
34	связи с	6	3
35	который был	2	3
36	в своем	2	3
37	что у	3	3
38	о себе	3	3
39	в связи	3	3
40	т е	16	3
41	к этому	7	3
42	матери и	2	3
43	и у	3	3
44	в том	9	3
45	и его	4	3
46	том что	8	3
47	и как	3	3
48	тем что	4	3
49	в его	3	3
50	далеко не	3	3
51	в русской	3	3
52	его в	3	3
53	но он	4	3
54	и о	2	3
55	в чем	3	3
56	одним из	4	3
57	он не	5	3
58	после смерти	2	2
59	и это	2	2
60	после этого	2	2
61	из них	7	2
62	не менее	5	2
63	никогда не	3	2
64	вместе с	9	2
65	его и	4	2
66	в них	6	2
67	так в	6	2
68	не может	4	2
69	а в	6	2
70	таким образом	10	2
71	но это	3	2
72	там же	2	2
73	уже не	7	2
74	не мог	2	2
75	и он	2	2
76	же не	2	2
77	мы знаем	2	2
78	же в	2	2
79	ряд деталей	2	2
80	в этой	5	2
81	и то	2	2
82	об этой	2	2
83	же как	2	2
84	их в	3	2
85	точки зрения	2	2
86	ко мне	2	2
87	в свою	4	2
88	и ее	3	2
89	отношение к	4	2
90	еще не	10	2
91	во время	6	2
92	на это	2	2
93	его на	2	2
94	при помощи	3	2
95	одна из	2	2
96	а также	2	2
97	в него	2	2
98	в русских	3	2
