N	2gram	Bakhtin_sl_1	Morfolog
1	может быть	14	52
2	и т	28	49
3	т д	5	47
4	таким образом	9	20
5	не может	14	17
6	в этих	2	16
7	могут быть	19	15
8	с этим	3	14
9	и в	41	13
10	в этом	12	13
11	эта форма	3	13
12	и др	14	12
13	так как	3	12
14	перед нами	4	11
15	мы видим	2	11
16	связи с	2	11
17	прежде всего	8	9
18	этом случае	2	9
19	так и	11	9
20	то же	14	9
21	и не	16	9
22	а не	15	9
23	с другой	5	8
24	по существу	3	8
25	в результате	3	8
26	и этим	3	7
27	в качестве	3	7
28	все же	7	7
29	это не	6	6
30	не могут	3	6
31	и здесь	3	6
32	в том	3	6
33	но не	2	6
34	а также	2	6
35	а в	6	6
36	если мы	2	5
37	иногда в	2	5
38	во всех	17	5
39	этот элемент	2	5
40	далеко не	5	5
41	как бы	12	5
42	один из	4	5
43	или в	8	5
44	потому что	2	5
45	мы не	2	5
46	вовсе не	7	4
47	было бы	3	4
48	на его	8	4
49	не только	16	4
50	как в	8	4
51	как мы	8	4
52	другой стороны	4	4
53	так же	2	4
54	как и	4	4
55	там где	4	4
56	хотя и	2	4
57	точки зрения	16	4
58	с точки	8	4
59	на этом	2	4
60	также и	3	4
61	его в	3	4
62	оно может	2	4
63	ничего не	4	4
64	в других	3	4
65	связана с	2	3
66	между собой	2	3
67	том что	2	3
68	что они	2	3
69	в целом	2	3
70	кроме того	4	3
71	в пределах	14	3
72	в сущности	13	3
73	он не	3	3
74	как таковые	3	3
75	не является	2	3
76	и другим	2	3
77	в первом	3	3
78	но и	16	3
79	входит в	4	3
80	на самом	2	3
81	первом случае	2	3
82	и по	2	3
83	к нему	5	3
84	и для	4	3
85	друг друга	3	3
86	из них	3	3
87	и ее	3	3
88	в то	14	3
89	но в	8	3
90	в виде	2	2
91	в частности	2	2
92	его и	3	2
93	оно как	2	2
94	хотя бы	3	2
95	к этому	2	2
96	можно сказать	2	2
97	и к	5	2
98	не с	2	2
99	то в	2	2
100	только в	6	2
101	а на	2	2
102	тем и	2	2
103	в большинстве	10	2
104	смысле слова	2	2
105	то время	2	2
106	для него	3	2
107	одной стороны	4	2
108	одному из	2	2
109	одной из	3	2
110	мы уже	2	2
111	оно не	6	2
112	себя в	9	2
113	от других	2	2
114	быть и	4	2
115	но эти	3	2
116	или менее	3	2
117	может не	8	2
118	а с	2	2
119	или иные	3	2
120	с одной	4	2
121	все эти	9	2
122	того что	3	2
123	для того	2	2
124	уже не	2	2
125	и иных	2	2
126	заставляет его	2	2
127	и его	14	2
128	можно было	2	2
129	в другом	2	2
130	о том	3	2
131	в свое	3	2
132	здесь не	2	2
133	но здесь	3	2
134	большинстве случаев	6	2
135	одна из	2	2
136	сказать что	2	2
137	более или	3	2
138	время как	2	2
