N	2gram	Kanaev_Sov_1	Problemy
1	и в	7	34
2	и не	6	29
3	как бы	4	27
4	в его	2	22
5	может быть	12	19
6	в нем	3	19
7	не может	17	19
8	и все	3	19
9	как и	6	18
10	но в	3	16
11	все это	3	16
12	в этом	7	16
13	прежде всего	5	15
14	то же	3	14
15	самом деле	2	13
16	и к	3	12
17	не только	4	10
18	не в	3	9
19	а не	3	9
20	самого начала	3	8
21	с самого	3	8
22	в самом	2	8
23	точки зрения	12	8
24	что же	5	8
25	что в	2	7
26	и даже	2	7
27	все же	3	7
28	как мы	2	7
29	в себе	3	6
30	что это	2	5
31	это не	4	5
32	в конце	3	5
33	но все	2	5
34	и что	2	5
35	всяком случае	2	5
36	в целом	4	5
37	из них	4	5
38	таким образом	11	5
39	а в	4	5
40	и наконец	5	5
41	мы должны	4	5
42	в одном	3	5
43	во всяком	2	5
44	то ни	2	4
45	что все	2	4
46	на этом	2	4
47	у него	2	4
48	при этом	3	4
49	на его	2	4
50	все эти	5	4
51	так как	4	4
52	еще не	3	4
53	с точки	5	4
54	он в	3	4
55	в виде	2	4
56	ничего не	6	4
57	вместе с	4	4
58	не менее	2	3
59	уже в	3	3
60	в каждом	8	3
61	в том	4	3
62	такой же	2	3
63	мы видели	4	3
64	жизни и	4	3
65	их в	4	3
66	говорить о	2	3
67	как он	3	3
68	и во	2	3
69	нет и	4	3
70	вопрос о	4	2
71	или иной	2	2
72	тем не	2	2
73	мы знаем	2	2
74	друг с	2	2
75	что такое	2	2
76	все те	2	2
77	он может	3	2
78	отличается от	3	2
79	только так	2	2
80	с этим	2	2
81	теперь же	2	2
82	для его	2	2
83	отнюдь не	3	2
84	он должен	2	2
85	конечно в	2	2
86	с другом	2	2
87	тот же	2	2
88	было бы	3	2
89	со всеми	2	2
90	и потому	3	2
91	быть и	2	2
92	в отличие	2	2
93	еще более	2	2
94	уже не	2	2
95	к чему	2	2
96	в которой	2	2
97	той же	2	2
98	которой он	2	2
99	так сказать	2	2
100	отличие от	2	2
