N	2gram	Vygotskiy__1	Tragedij
1	и в	31	18
2	в этом	12	9
3	не только	13	8
4	и не	16	7
5	и с	2	7
6	может быть	22	7
7	как бы	5	7
8	что он	7	6
9	и его	7	6
10	у него	4	6
11	но в	3	6
12	все же	5	5
13	к жизни	2	5
14	что это	6	5
15	так и	3	5
16	не может	17	5
17	то же	5	5
18	как и	16	5
19	в то	5	5
20	несмотря на	5	5
21	но и	2	4
22	то что	32	4
23	в целом	5	4
24	что в	23	4
25	все это	8	4
26	прежде всего	4	4
27	и все	5	4
28	в нем	2	4
29	и даже	6	4
30	так же	12	4
31	том что	16	4
32	но это	3	4
33	в этой	3	4
34	что я	4	4
35	и что	8	4
36	в себе	4	4
37	уже в	3	3
38	один из	4	3
39	что образ	2	3
40	о чем	2	3
41	отнюдь не	6	3
42	в своем	3	3
43	в конце	3	3
44	как в	9	3
45	тем самым	2	3
46	и как	2	3
47	к нему	2	3
48	в его	6	3
49	что с	2	3
50	при этом	19	3
51	как будто	5	3
52	как это	4	3
53	с ним	2	3
54	то есть	26	3
55	под влиянием	3	2
56	она как	2	2
57	не могут	3	2
58	что и	13	2
59	как говорит	2	2
60	она должна	2	2
61	в частности	3	2
62	в отличие	3	2
63	который в	3	2
64	то и	2	2
65	по мнению	2	2
66	что все	3	2
67	вопрос о	3	2
68	уже не	2	2
69	бы и	2	2
70	отношение к	2	2
71	говорит что	5	2
72	к тому	4	2
73	столь же	4	2
74	и здесь	2	2
75	ни в	9	2
76	в ее	5	2
77	в том	30	2
78	до конца	6	2
79	говорит о	2	2
80	отличие от	4	2
81	так что	5	2
82	в таком	3	2
83	не в	11	2
84	точно так	3	2
85	и то	2	2
86	в русском	2	2
87	одна из	4	2
88	потому что	10	2
89	с тем	3	2
90	только о	2	2
91	по поводу	2	2
92	о том	7	2
93	его в	2	2
94	что эти	3	2
95	и это	3	2
96	в самом	11	2
97	ничего не	2	2
98	он не	3	2
99	в одном	2	2
100	что она	6	2
101	никогда не	8	2
102	одном из	2	2
103	имеет в	2	2
