N	2gram	Medvedev_U_1	FransuaR
1	и в	14	49
2	прежде всего	8	19
3	в его	2	18
4	не только	10	17
5	и не	8	15
6	в этом	7	15
7	только в	2	13
8	но и	4	13
9	как и	3	11
10	в этой	4	10
11	все это	5	9
12	для него	3	9
13	все же	3	7
14	не может	7	7
15	таким образом	2	7
16	то же	5	7
17	то что	7	6
18	же время	3	6
19	и с	2	6
20	в то	3	6
21	с его	2	5
22	но не	2	5
23	может быть	6	5
24	в своей	3	5
25	с другой	4	4
26	в себе	2	4
27	том что	2	4
28	сих пор	2	4
29	до сих	2	4
30	в области	3	4
31	тем что	2	4
32	но в	3	4
33	всех этих	2	3
34	о чем	2	3
35	превращается в	2	3
36	что он	2	3
37	в том	2	3
38	было бы	3	3
39	в самом	2	3
40	меньшей степени	2	3
41	другой стороны	3	3
42	этом отношении	2	3
43	могут быть	2	2
44	перестает быть	5	2
45	но даже	2	2
46	даже и	2	2
47	по существу	2	2
48	но это	2	2
49	литературы и	2	2
50	ничего не	2	2
51	одним из	2	2
52	в их	4	2
53	вряд ли	3	2
54	на эту	2	2
55	и т.д	3	2
56	в конце	2	2
57	в художественном	5	2
