N	2gram	Tiupa_Lite_2	Marksizm
1	может быть	17	28
2	и в	19	19
3	как бы	2	19
4	и не	11	19
5	не может	9	18
6	точки зрения	4	17
7	то же	12	16
8	и его	3	16
9	в этом	9	15
10	в сущности	3	14
11	не только	8	13
12	с точки	3	13
13	в нем	3	11
14	вовсе не	2	11
15	не в	4	10
16	но и	10	10
17	том что	7	10
18	так и	7	10
19	и т.п	10	10
20	для него	4	9
21	при этом	6	9
22	в основе	2	9
23	как и	10	9
24	а не	20	9
25	отнюдь не	4	8
26	же время	9	8
27	не является	2	8
28	по отношению	4	8
29	в то	9	8
30	отношению к	3	8
31	никогда не	3	7
32	в том	10	7
33	но в	2	7
34	прежде всего	4	7
35	одна из	5	7
36	и для	3	7
37	и как	3	6
38	ни было	2	6
39	во всех	3	6
40	слова и	7	6
41	для того	2	6
42	хотя бы	2	6
43	в их	3	5
44	и на	6	5
45	того же	4	5
46	в его	4	5
47	все же	2	5
48	в данном	3	5
49	то что	7	4
50	того что	5	4
51	в русском	2	4
52	как раз	2	4
53	что он	3	4
54	было бы	2	4
55	для себя	2	4
56	тем же	3	4
57	речь в	2	4
58	в себе	6	4
59	и т.д	7	4
60	ничего не	3	4
61	в какой	2	3
62	столь же	5	3
63	с другой	8	3
64	в этой	3	3
65	одной стороны	6	3
66	в ней	4	3
67	а в	3	3
68	с одной	7	3
69	в другом	3	3
70	не было	2	3
71	в истории	2	3
72	о том	2	3
73	так как	3	3
74	в ее	2	3
75	у нас	5	3
76	в качестве	5	3
77	одно и	2	3
78	еще не	2	3
79	одной из	2	3
80	не к	2	3
81	он не	5	3
82	и до	2	3
83	что и	2	3
84	мысли и	2	3
85	той же	2	3
86	и то	3	3
87	могут быть	2	3
88	уже в	2	2
89	что в	4	2
90	в нашем	2	2
91	не знает	2	2
92	до конца	2	2
93	не так	2	2
94	одним из	3	2
95	жизни и	4	2
96	и даже	8	2
97	друг друга	2	2
98	как на	3	2
99	и с	3	2
100	по крайней	2	2
101	даже и	2	2
102	он и	2	2
103	но как	2	2
104	в начале	3	2
105	случае это	2	2
106	то есть	5	2
107	у него	2	2
108	в жизни	2	2
109	не с	3	2
110	но не	5	2
111	ведь это	2	2
112	культуры как	2	2
113	крайней мере	2	2
114	себя в	6	2
115	что не	2	2
116	и он	3	2
117	мы не	4	2
118	свидетельствует о	2	2
119	тем что	4	2
120	вместе с	5	2
