N	2gram	Tiupa_Disk_2	Problema
1	и в	16	30
2	в своей	6	22
3	то есть	12	21
4	то что	5	18
5	не только	10	18
6	том что	10	17
7	в этом	16	17
8	но и	11	13
9	потому что	4	13
10	в том	8	12
11	в его	3	12
12	и не	15	12
13	также и	3	12
14	о том	4	12
15	в своем	5	11
16	точки зрения	4	10
17	в этой	4	10
18	все же	6	9
19	но в	11	9
20	только в	3	9
21	и все	3	9
22	с точки	2	8
23	никогда не	2	7
24	что он	2	7
25	как и	16	7
26	но не	7	7
27	может быть	16	7
28	вместе с	2	7
29	так и	9	7
30	не в	3	7
31	здесь не	2	7
32	в результате	2	7
33	с другой	5	6
34	прежде всего	7	6
35	можно сказать	3	6
36	уже не	3	6
37	и как	3	6
38	и для	2	6
39	как бы	4	6
40	в нем	7	6
41	что и	2	6
42	другой стороны	2	6
43	тут же	2	6
44	а в	2	6
45	и его	3	6
46	и на	5	6
47	его в	3	6
48	не менее	7	5
49	что в	5	5
50	еще в	3	5
51	для себя	2	5
52	не может	9	5
53	а не	14	5
54	и то	4	5
55	и с	2	5
56	в частности	12	4
57	отнюдь не	6	4
58	жизни в	3	4
59	нового времени	5	4
60	ни в	7	4
61	при этом	17	4
62	того же	2	4
63	в качестве	16	4
64	некоторого рода	2	4
65	а с	5	4
66	в период	4	4
67	в себе	19	4
68	в то	5	4
69	далеко не	2	4
70	в противоположность	5	3
71	именно в	2	3
72	не столь	2	3
73	как будто	3	3
74	еще не	6	3
75	одной стороны	4	3
76	он не	3	3
77	а также	8	3
78	в русской	3	3
79	а потом	2	3
80	русской литературе	2	3
81	с одной	4	3
82	в ней	2	3
83	в другом	3	3
84	в одном	4	3
85	мира в	3	3
86	по мысли	6	2
87	по словам	2	2
88	в них	3	2
89	как в	8	2
90	это не	3	2
91	к этому	4	2
92	здесь в	3	2
93	то же	6	2
94	жизни и	3	2
95	в данном	7	2
96	мы имеем	2	2
97	такого рода	9	2
98	в котором	3	2
99	отношению к	4	2
100	но уже	2	2
101	не к	2	2
102	проявляется в	3	2
103	из них	3	2
104	данном случае	6	2
105	человеческой жизни	2	2
106	отношение к	2	2
107	по отношению	4	2
108	все эти	3	2
109	между тем	2	2
110	всей своей	3	2
111	по своей	6	2
112	дело в	2	2
113	есть в	2	2
114	мира и	4	2
115	в области	2	2
