N	2gram	Losev_Vlad_3	Dialekti
1	не есть	10	47
2	и не	25	30
3	может быть	8	20
4	и в	40	19
5	не только	25	19
6	по себе	6	18
7	а не	8	16
8	в себе	9	15
9	то что	28	14
10	что она	2	14
11	и даже	6	14
12	в том	18	14
13	как бы	3	14
14	так как	7	14
15	потому что	11	14
16	вовсе не	13	13
17	но и	18	12
18	то же	4	12
19	не просто	10	12
20	значит что	6	12
21	точки зрения	13	12
22	и все	4	12
23	что это	9	10
24	ни в	10	10
25	как и	7	10
26	и как	7	10
27	в нем	3	10
28	так и	6	10
29	том что	18	10
30	это не	3	10
31	сказать что	12	10
32	никогда не	11	9
33	не может	14	9
34	же и	2	9
35	прежде всего	10	8
36	это значит	6	8
37	она не	2	8
38	мы уже	5	8
39	с точки	6	8
40	не в	3	8
41	это есть	10	8
42	в этом	16	8
43	в своей	9	8
44	есть не	2	7
45	как это	4	7
46	но это	6	7
47	но что	2	7
48	и к	2	7
49	совершенно не	2	7
50	что в	17	7
51	и притом	3	7
52	должно быть	5	7
53	время как	2	7
54	и то	9	7
55	так что	14	7
56	я не	3	6
57	что он	5	6
58	да и	6	6
59	отнюдь не	5	6
60	в то	7	6
61	но не	4	6
62	есть и	4	6
63	того что	7	6
64	и вообще	3	6
65	должна быть	2	5
66	с другой	5	5
67	же время	2	5
68	в силу	2	5
69	в самом	4	5
70	и потому	10	5
71	что и	7	5
72	и это	6	5
73	а именно	12	5
74	как раз	10	5
75	иной раз	6	5
76	в одно	2	5
77	и что	8	5
78	в смысле	6	5
79	только что	2	5
80	и его	10	5
81	жизнь и	3	5
82	но как	2	5
83	только в	13	5
84	о том	11	5
85	и с	9	5
86	в виду	3	5
87	содержит в	5	4
88	уже в	3	4
89	нисколько не	3	4
90	независимо от	3	4
91	в своем	8	4
92	в одном	5	4
93	нельзя сказать	3	4
94	не могут	2	4
95	быть в	2	4
96	же это	2	4
97	все же	4	4
98	при этом	3	4
99	то время	4	4
100	одно и	2	4
101	еще не	4	4
102	и если	7	4
103	к нему	3	4
104	за пределы	3	4
105	той или	2	4
106	он не	8	4
107	хотя бы	6	4
108	связи с	2	4
109	только то	2	4
110	ни с	3	4
111	быть и	2	4
112	от того	4	4
113	другой стороны	2	4
114	как нечто	3	4
115	в связи	3	4
116	и только	3	4
117	тут же	5	4
118	не больше	3	4
119	таким образом	11	4
120	и по	2	4
121	есть только	9	4
122	а в	7	4
123	в таком	3	4
124	в каком	4	4
125	в другом	2	4
126	по своей	2	4
127	сам по	2	3
128	не менее	9	3
129	и более	2	3
130	же как	3	3
131	можно ли	2	3
132	в этих	2	3
133	в это	2	3
134	и от	6	3
135	вопрос о	4	3
136	это время	2	3
137	а только	7	3
138	об этом	6	3
139	оно есть	6	3
140	как мы	8	3
141	но только	2	3
142	уже не	9	3
143	в этой	8	3
144	но тут	2	3
145	что если	4	3
146	кроме того	6	3
147	было бы	4	3
148	себе и	2	3
149	даже в	4	3
150	и тут	3	3
151	из них	2	3
152	то как	3	3
153	с этим	2	3
154	в разных	2	3
155	не было	5	3
156	мы имеем	3	3
157	мы находим	2	3
158	бы это	2	3
159	хочет быть	2	3
160	есть просто	2	3
161	что этот	3	3
162	в данном	5	3
163	и бытия	2	3
164	от этого	2	3
165	его в	2	3
166	таком случае	2	3
167	или как	4	3
168	то не	2	3
169	в чем	3	3
170	ничего не	5	3
171	нет ни	2	3
172	же не	2	3
173	это было	3	3
174	что же	9	2
175	иначе и	2	2
176	само по	3	2
177	и можно	4	2
178	не очень	2	2
179	в какой	2	2
180	перед нами	3	2
181	всегда есть	3	2
182	в конце	12	2
183	человека и	3	2
184	на самом	3	2
185	но о	3	2
186	именно в	3	2
187	но мы	2	2
188	если мы	4	2
189	то это	10	2
190	этого последнего	2	2
191	к тому	7	2
192	что на	2	2
193	тем не	10	2
194	же в	3	2
195	тут тоже	2	2
196	но все	3	2
197	об этой	2	2
198	в истории	5	2
199	не будет	6	2
200	с тем	7	2
201	или менее	5	2
202	он всегда	2	2
203	в каких	2	2
204	в сущности	2	2
205	несмотря на	7	2
206	которые были	2	2
207	он мог	3	2
208	в ней	5	2
209	всяком случае	3	2
210	только к	2	2
211	так или	2	2
212	оно должно	4	2
213	не стану	2	2
214	в мире	2	2
215	как не	2	2
216	на него	2	2
217	ее в	3	2
218	данном случае	2	2
219	в их	2	2
220	тому что	4	2
221	так же	8	2
222	в изображении	2	2
223	взгляд на	2	2
224	не на	2	2
225	что есть	3	2
226	собственно говоря	3	2
227	с одной	3	2
228	что бы	3	2
229	только и	5	2
230	так вот	2	2
231	можно только	2	2
232	более или	5	2
233	бы и	4	2
234	или иначе	2	2
235	в своих	7	2
236	также и	17	2
237	в результате	4	2
238	не как	2	2
239	тем что	5	2
240	в виде	13	2
241	только о	3	2
242	когда оно	2	2
243	но нельзя	3	2
244	что здесь	3	2
245	или не	3	2
246	что мы	2	2
247	мы должны	4	2
248	же самое	3	2
249	во всяком	3	2
250	но вот	3	2
251	все эти	5	2
252	ни на	2	2
253	бытие и	3	2
254	иметь в	2	2
255	в которой	2	2
256	которые не	2	2
257	но в	4	2
258	где тут	2	2
259	в жизни	2	2
260	вместе с	7	2
