N	3gram	Vinokur_Ku_3	Vvedenie
1	и т д	8	36
2	для того чтобы	11	20
3	о том что	3	12
4	в том что	8	12
5	тем не менее	9	8
6	не может быть	3	8
7	в самом деле	11	6
8	до сих пор	8	6
9	и т п	41	5
10	с другой стороны	3	5
11	в том чтобы	3	5
12	в данном случае	4	4
13	не только в	3	4
14	с одной стороны	4	4
15	не только как	3	4
16	можно было бы	10	4
17	в этом случае	4	4
18	и в этом	4	4
19	по отношению к	2	4
20	в свое время	2	3
21	как мы видели	2	3
22	и тем не	3	3
23	и в самом	4	3
24	сама по себе	2	3
25	в известном смысле	2	3
26	смысле этого слова	2	2
27	той или иной	5	2
28	с точки зрения	16	2
29	не могут быть	2	2
30	не в том	2	2
31	не говоря уже	2	2
32	в связи с	4	2
33	в большей степени	2	2
34	принять во внимание	2	2
