N	2gram	Bakhtin_Fr_2	VelikijI
1	и не	15	20
2	и в	49	16
3	то что	6	9
4	так как	6	9
5	еще не	2	8
6	в истории	6	8
7	что они	2	7
8	и потому	5	7
9	на земле	3	7
10	человека и	3	6
11	в мире	2	5
12	хотя и	2	5
13	как бы	11	5
14	но и	13	5
15	все это	9	5
16	что он	3	4
17	в нем	9	4
18	как и	11	4
19	все что	2	4
20	так и	6	4
21	в этом	15	4
22	в ней	2	4
23	и все	3	4
24	в его	18	4
25	с его	5	3
26	что в	2	3
27	в этих	4	3
28	в них	13	3
29	превращается в	3	3
30	в конце	2	3
31	в жизни	4	3
32	ни в	3	3
33	в том	3	3
34	но это	2	3
35	тот же	5	3
36	во всех	6	3
37	никогда не	5	3
38	жизни и	7	3
39	в своей	5	3
40	не было	4	3
41	лишь в	4	3
42	их в	3	3
43	все эти	7	3
44	но в	4	3
45	в духе	4	2
46	прежде всего	19	2
47	да и	3	2
48	том что	4	2
49	одна из	4	2
50	но не	5	2
51	для него	9	2
52	для них	2	2
53	того чтобы	2	2
54	и во	4	2
55	не только	17	2
56	один из	7	2
57	и над	4	2
58	и за	2	2
59	ее в	2	2
60	в форме	4	2
61	тем что	4	2
62	в себя	6	2
63	а в	4	2
64	с ним	4	2
65	можно было	3	2
66	духа и	3	2
67	могут быть	2	2
68	только в	13	2
69	и это	3	2
70	во всяком	2	2
