N	2gram	Berdyaev_N_1	VLabPisa
1	в этом	7	26
2	и в	16	25
3	не только	5	22
4	может быть	7	21
5	хотя бы	2	20
6	и не	11	19
7	не может	16	17
8	прежде всего	4	13
9	в том	8	13
10	все это	5	12
11	как это	2	12
12	с другой	3	11
13	о том	4	10
14	что в	9	9
15	но и	3	9
16	все эти	2	8
17	другой стороны	2	8
18	могут быть	2	8
19	как и	7	7
20	том что	2	7
21	во всех	3	7
22	вместе с	2	7
23	не было	4	7
24	а не	17	7
25	у него	2	6
26	это не	4	6
27	в себе	2	6
28	это и	2	6
29	то что	4	6
30	в нем	5	6
31	так и	2	6
32	в то	2	6
33	и есть	10	5
34	сказать что	3	5
35	не в	6	5
36	к тому	3	4
37	никогда не	6	4
38	равно как	2	4
39	что все	2	4
40	с его	6	4
41	в ее	3	4
42	одна из	2	4
43	в своей	3	4
44	должен быть	5	4
45	в них	4	4
46	вот почему	2	4
47	познания и	2	4
48	и к	5	3
49	с тем	3	3
50	и от	2	3
51	человека и	3	3
52	по существу	2	3
53	с этим	2	3
54	нет и	2	3
55	жизни и	8	3
56	так же	2	3
57	она не	3	3
58	не менее	4	2
59	зависит от	2	2
60	связана с	2	2
61	мира и	2	2
62	и формы	2	2
63	формы и	2	2
64	в жизни	5	2
65	роль в	2	2
66	и заключается	2	2
67	и весь	2	2
68	дня и	3	2
69	ли это	2	2
70	и потому	4	2
71	но не	2	2
72	но для	2	2
73	смысле слова	3	2
74	еще не	3	2
75	одной стороны	2	2
76	ни одна	2	2
77	том чтобы	2	2
78	к ним	3	2
79	в ней	5	2
80	что она	2	2
81	и даже	2	2
82	все они	2	2
83	а в	2	2
84	с одной	2	2
85	того чтобы	2	2
86	что такое	3	2
87	и для	4	2
88	войны и	2	2
89	можно было	2	2
90	тому как	3	2
91	хотя и	2	2
92	лишь в	6	2
93	он не	8	2
94	подобно тому	3	2
95	же как	2	2
96	но в	2	2
97	значит что	4	2
