N	2gram	Vinokur_St_1	Literetu
1	не только	18	24
2	при этом	2	19
3	в качестве	4	17
4	но и	10	17
5	а не	16	16
6	в том	36	16
7	в частности	4	15
8	том что	29	14
9	может быть	15	13
10	и не	16	12
11	в этом	21	12
12	прежде всего	7	11
13	в своем	2	11
14	своего рода	3	11
15	такого рода	2	10
16	то что	18	10
17	или иначе	2	9
18	так или	2	8
19	не в	12	8
20	в целом	5	8
21	и в	44	8
22	в тексте	12	8
23	только в	10	8
24	как это	4	8
25	не менее	5	7
26	я не	7	7
27	в его	9	7
28	как бы	4	7
29	в себе	2	7
30	и я	3	6
31	как и	9	6
32	и сам	2	6
33	того что	9	6
34	точки зрения	11	6
35	то есть	2	6
36	с этой	3	5
37	что он	10	5
38	же время	4	5
39	а также	2	5
40	для себя	3	5
41	как в	13	5
42	не может	8	5
43	то же	5	5
44	уже в	2	5
45	тем самым	2	5
46	в данном	14	5
47	в то	9	5
48	для этого	2	4
49	столь же	4	4
50	это не	8	4
51	в конце	3	4
52	в случае	2	4
53	но не	3	4
54	культуры в	3	4
55	еще не	3	4
56	и тем	3	4
57	все же	8	4
58	из них	8	4
59	в своей	6	4
60	данном случае	6	4
61	со стороны	6	4
62	так и	9	4
63	никогда не	5	4
64	лишь в	3	4
65	и его	8	4
66	как раз	4	4
67	в своих	2	4
68	в этой	11	4
69	в основе	3	3
70	не было	4	3
71	что в	30	3
72	с другой	9	3
73	самого пушкина	5	3
74	да и	3	3
75	например в	8	3
76	в самом	7	3
77	в повестях	6	3
78	несмотря на	2	3
79	у него	2	3
80	же и	4	3
81	жизни и	5	3
82	ли не	2	3
83	по отношению	3	3
84	бы не	2	3
85	а в	17	3
86	таким образом	7	3
87	еще и	2	3
88	более чем	2	3
89	тем же	3	3
90	и даже	5	3
91	той же	5	3
92	потому что	6	3
93	во всяком	6	3
94	одно из	2	3
95	но в	10	3
96	по своей	2	3
97	также и	9	3
98	его в	2	3
99	дело в	6	3
100	в области	14	3
101	а как	2	2
102	должна быть	3	2
103	по этому	3	2
104	в равной	2	2
105	превращается в	2	2
106	дело не	4	2
107	из этих	6	2
108	а потому	2	2
109	же это	3	2
110	тем не	2	2
111	литературной и	2	2
112	в другом	3	2
113	чуть ли	2	2
114	в москве	2	2
115	того же	3	2
116	для него	6	2
117	одной стороны	2	2
118	было бы	17	2
119	по поводу	7	2
120	общего с	3	2
121	за пределы	2	2
122	вплоть до	5	2
123	всяком случае	6	2
124	даже в	3	2
125	не является	3	2
126	должен быть	3	2
127	в нем	5	2
128	то это	3	2
129	отношению к	3	2
130	пушкина в	24	2
131	в сущности	2	2
132	и только	3	2
133	этом отношении	7	2
134	с одной	3	2
135	все эти	5	2
136	из того	2	2
137	самом деле	11	2
138	во втором	4	2
139	что не	3	2
140	хотя бы	6	2
141	и вполне	3	2
142	с точки	8	2
143	что для	3	2
144	во многих	3	2
145	в слове	5	2
146	евгения онегина	5	2
147	можно было	13	2
148	и то	5	2
149	между тем	3	2
150	тем более	4	2
151	тем что	5	2
152	могут быть	5	2
153	как будто	4	2
154	как правило	2	2
155	о том	17	2
156	в россии	4	2
157	в сознании	2	2
