N	2gram	Bakhtin_Fr_1	Tragedij
1	и в	65	18
2	в романе	2	10
3	в году	6	9
4	в этом	15	9
5	не только	10	8
6	и не	22	7
7	и на	11	7
8	и с	3	7
9	может быть	6	7
10	как бы	22	7
11	что он	3	6
12	и его	10	6
13	но в	14	6
14	все же	6	5
15	к жизни	2	5
16	так и	10	5
17	это не	3	5
18	не может	3	5
19	в дальнейшем	8	5
20	как и	5	5
21	несмотря на	2	5
22	это очень	2	5
23	но и	10	4
24	то что	3	4
25	в целом	2	4
26	что в	3	4
27	все это	9	4
28	прежде всего	11	4
29	и все	5	4
30	в нем	13	4
31	и даже	8	4
32	том что	6	4
33	но это	3	4
34	в этой	4	4
35	в себе	3	4
36	еще не	6	4
37	в своем	8	3
38	как в	5	3
39	все эти	10	3
40	и он	2	3
41	к нему	3	3
42	в основном	2	3
43	в его	9	3
44	для него	5	3
45	при этом	6	3
46	с ним	3	3
47	то есть	45	3
48	и до	4	2
49	от всего	2	2
50	не могут	3	2
51	раз и	2	2
52	в частности	5	2
53	в отличие	4	2
54	в известной	3	2
55	но при	2	2
56	не просто	3	2
57	но эта	2	2
58	уже не	3	2
59	с его	5	2
60	отношение к	4	2
61	к тому	2	2
62	и здесь	3	2
63	он был	2	2
64	в ее	3	2
65	в том	16	2
66	до конца	2	2
67	друг друга	3	2
68	отличие от	5	2
69	но все	3	2
70	в таком	2	2
71	не в	4	2
72	потому что	5	2
73	он и	3	2
74	еще раз	2	2
75	в это	2	2
76	о том	2	2
77	его в	7	2
78	и это	2	2
79	в самом	4	2
80	это уже	4	2
81	ничего не	3	2
82	он не	2	2
83	в одном	5	2
84	никогда не	6	2
