N	2gram	Propp_Russ_2	StatiiOP
1	и в	29	29
2	том что	22	27
3	в том	22	27
4	в этом	11	21
5	но и	8	19
6	что в	22	19
7	не только	10	19
8	о том	9	17
9	в и	3	13
10	то что	5	11
11	все это	10	11
12	в которой	2	11
13	таким образом	6	10
14	т е	24	10
15	и т	5	9
16	потому что	5	9
17	и пр	2	8
18	но в	5	8
19	в г	2	7
20	с тем	6	7
21	в виду	2	7
22	в котором	3	7
23	в своей	2	7
24	вместе с	6	7
25	того как	2	7
26	для того	6	7
27	не столько	2	7
28	об этом	2	6
29	вопрос о	4	6
30	одним из	2	6
31	все же	2	6
32	т д	5	6
33	в течение	2	6
34	и что	5	6
35	того чтобы	6	6
36	и на	6	6
37	о чем	4	5
38	прежде всего	2	5
39	в качестве	3	5
40	было бы	3	5
41	как бы	18	5
42	а не	4	5
43	того что	3	5
44	между тем	3	5
45	именно в	4	4
46	должен был	3	4
47	с другой	2	4
48	к этому	5	4
49	не в	4	4
50	после того	2	4
51	кроме того	2	4
52	и о	3	4
53	связи с	2	4
54	и с	10	4
55	не менее	2	3
56	не был	2	3
57	же как	4	3
58	что это	3	3
59	в этих	3	3
60	из нее	2	3
61	но он	3	3
62	с этим	2	3
63	на себя	2	3
64	в образе	2	3
65	что на	2	3
66	у нас	4	3
67	так что	4	3
68	но не	5	3
69	до конца	3	3
70	должно было	3	3
71	никогда не	2	3
72	из них	4	3
73	как в	7	3
74	в их	2	3
75	вряд ли	2	3
76	а с	2	3
77	не было	2	3
78	тем что	3	3
79	на самом	2	3
80	в году	3	3
81	и по	3	3
82	так же	4	3
83	на нее	6	3
84	в эту	3	3
85	во время	12	2
86	и другие	14	2
87	ниже в	2	2
88	по этому	2	2
89	в них	4	2
90	что с	2	2
91	или с	3	2
92	с этой	2	2
93	связь с	3	2
94	как например	3	2
95	что и	2	2
96	тем не	2	2
97	в ее	3	2
98	нас не	2	2
99	а затем	4	2
100	говорит о	2	2
101	по существу	4	2
102	как и	11	2
103	и как	2	2
104	должна была	5	2
105	в этой	3	2
106	в то	2	2
107	очевидно что	2	2
108	может быть	13	2
109	том же	4	2
110	а также	4	2
111	еще в	2	2
112	ее в	8	2
113	не к	2	2
114	в некоторых	9	2
115	дело не	2	2
116	совершенно не	2	2
117	не может	5	2
118	тогда как	2	2
119	этому поводу	2	2
120	то же	4	2
121	все эти	3	2
122	при этом	6	2
123	там где	2	2
124	в отличие	3	2
125	не имеет	3	2
126	а к	2	2
127	была не	2	2
128	в данном	6	2
129	это время	2	2
130	этот вопрос	2	2
131	и дело	2	2
132	его в	8	2
133	так как	13	2
134	как это	4	2
135	отличие от	3	2
