N	2gram	Trubetskoy_1	KulturaY
1	в том	11	30
2	и в	26	24
3	потому что	7	23
4	том что	7	21
5	что в	9	17
6	того чтобы	5	17
7	для того	5	16
8	в этом	15	14
9	точки зрения	13	14
10	может быть	10	13
11	все же	6	12
12	таким образом	22	12
13	в его	5	12
14	и не	8	12
15	не в	2	11
16	только в	4	11
17	в силу	5	10
18	в самом	4	10
19	не только	10	10
20	хотя бы	3	10
21	если бы	3	9
22	то что	7	9
23	прежде всего	2	9
24	отношению к	3	9
25	того что	3	9
26	с точки	6	9
27	о том	6	9
28	так как	9	9
29	то же	4	8
30	уже не	3	8
31	а не	5	8
32	не менее	3	7
33	в них	2	7
34	с другой	8	7
35	связи с	9	7
36	в качестве	3	7
37	как бы	12	7
38	вместе с	15	7
39	не может	4	7
40	в области	9	7
41	так и	6	7
42	тогда когда	2	6
43	именно в	2	6
44	что он	4	6
45	при этом	3	6
46	но и	9	6
47	все это	6	6
48	все эти	6	6
49	в которых	4	6
50	мы имеем	2	6
51	в которой	3	6
52	с тем	18	5
53	что это	3	5
54	по крайней	5	5
55	к тому	6	5
56	крайней мере	5	5
57	но не	8	5
58	еще не	2	5
59	всяком случае	6	5
60	и что	4	5
61	целый ряд	4	5
62	этом отношении	2	5
63	в виду	2	5
64	не потому	2	5
65	а в	4	5
66	в результате	3	5
67	во всяком	6	5
68	между тем	2	5
69	и с	10	5
70	учение о	4	4
71	в рамках	3	4
72	с его	2	4
73	в этих	4	4
74	и потому	6	4
75	что эти	3	4
76	на то	2	4
77	в нем	4	4
78	по существу	2	4
79	того же	6	4
80	из них	7	4
81	один из	2	4
82	что и	6	4
83	тем не	3	4
84	сих пор	5	4
85	до сих	5	4
86	и тогда	4	4
87	в самой	2	4
88	так что	3	4
89	так же	5	4
90	и на	2	4
91	из этих	10	4
92	и является	2	4
93	в русском	2	4
94	уже в	2	3
95	как на	8	3
96	если не	2	3
97	состоит в	2	3
98	для этого	2	3
99	ясно что	3	3
100	представление о	6	3
101	или иной	2	3
102	можно сказать	3	3
103	в этой	4	3
104	в свою	2	3
105	связано с	2	3
106	в общем	8	3
107	и если	3	3
108	в котором	4	3
109	не с	2	3
110	так называемые	3	3
111	когда он	3	3
112	или менее	5	3
113	в своем	3	3
114	в связи	3	3
115	а с	7	3
116	не было	2	3
117	что оно	4	3
118	более или	5	3
119	и даже	3	3
120	в таком	3	3
121	несмотря на	6	3
122	и здесь	2	3
123	в себе	6	3
124	в одном	3	3
125	к которому	2	3
126	поэтому что	2	2
127	никогда не	5	2
128	превращается в	2	2
129	с этой	3	2
130	образом если	2	2
131	и все	2	2
132	но с	3	2
133	что все	4	2
134	так или	3	2
135	так называемой	2	2
136	не всегда	2	2
137	не могут	2	2
138	в смысле	4	2
139	в то	4	2
140	как о	3	2
141	и как	3	2
142	но все	7	2
143	и при	3	2
144	же время	2	2
145	ли это	2	2
146	тот же	2	2
147	и сами	2	2
148	конечно не	2	2
149	очень много	2	2
150	одним из	2	2
151	но если	2	2
152	относится к	2	2
153	если в	3	2
154	к жизни	5	2
155	духовной культуры	3	2
156	подойти к	3	2
157	так например	2	2
158	он не	4	2
159	и для	5	2
160	в разных	2	2
161	лишь в	5	2
162	свидетельствует о	2	2
163	на этот	4	2
164	не имеет	5	2
165	или иначе	3	2
166	по своим	2	2
167	одно из	2	2
168	о котором	2	2
169	этой точки	2	2
170	иной раз	2	2
171	но в	7	2
