N	2gram	Propp_Isto_3	Poddanst
1	не только	14	17
2	и в	22	14
3	и не	12	12
4	в этом	17	10
5	то же	6	9
6	в том	9	9
7	в качестве	2	9
8	но в	10	9
9	в пределах	4	8
10	в то	2	7
11	только в	4	7
12	но и	12	6
13	в ней	2	6
14	было бы	3	6
15	с другой	7	5
16	а я	2	5
17	не в	4	5
18	в которых	2	5
19	и пр	11	5
20	и о	2	5
21	может быть	11	5
22	же в	2	4
23	в котором	2	4
24	то что	7	4
25	что в	15	4
26	если бы	6	4
27	в своем	2	4
28	не может	4	4
29	и к	3	4
30	а в	6	4
31	том что	8	4
32	мы должны	7	4
33	в русской	3	4
34	а также	2	4
35	и потому	2	4
36	в нем	9	3
37	и т	16	3
38	с тем	2	3
39	это не	6	3
40	с одной	2	3
41	т е	16	3
42	прежде всего	3	3
43	и как	3	3
44	с ними	3	3
45	между тем	2	3
46	но не	7	3
47	могут быть	5	3
48	точки зрения	2	3
49	одной стороны	2	3
50	потому что	3	3
51	хотя и	2	3
52	не менее	5	2
53	для них	3	2
54	и есть	2	2
55	в частности	5	2
56	не будем	3	2
57	в северной	3	2
58	друг другу	2	2
59	со стороны	3	2
60	в них	6	2
61	и и	2	2
62	с этим	8	2
63	в жизни	2	2
64	между прочим	3	2
65	еще более	2	2
66	и вот	2	2
67	стороны и	3	2
68	а не	6	2
69	того что	5	2
70	для нас	4	2
71	в русском	2	2
72	одна из	2	2
73	в силу	2	2
74	в виде	2	2
75	не было	2	2
76	из них	7	2
77	например в	2	2
78	и это	2	2
79	да и	2	2
80	в его	3	2
81	и с	4	2
