N	2gram	Bakhtin_Pr_4	Literetu
1	а не	11	20
2	и в	46	19
3	может быть	23	17
4	своего рода	4	13
5	то же	6	12
6	и не	27	11
7	и т.п	14	10
8	в том	9	10
9	как и	12	10
10	но и	12	10
11	же время	5	9
12	не может	19	9
13	в мире	3	9
14	в этом	16	9
15	в то	5	9
16	с другой	3	8
17	не только	14	8
18	и даже	3	8
19	том что	4	7
20	то что	4	7
21	так и	4	7
22	и т.д	3	7
23	слова и	7	7
24	не менее	2	6
25	в себе	7	6
26	при этом	5	6
27	себя в	3	6
28	и на	11	6
29	у нас	2	5
30	одна из	2	5
31	но не	4	5
32	он не	4	5
33	на фоне	6	5
34	вместе с	2	5
35	так в	2	5
36	то есть	40	5
37	что в	4	4
38	прежде всего	9	4
39	не в	10	4
40	того же	3	4
41	для него	2	4
42	в его	9	4
43	жизни и	5	4
44	и других	4	4
45	так что	2	4
46	другой стороны	3	4
47	мы не	4	4
48	по отношению	5	4
49	тем что	3	4
50	точки зрения	11	4
51	никогда не	6	3
52	о себе	5	3
53	в поэзии	2	3
54	в себя	4	3
55	что он	6	3
56	в нем	17	3
57	по существу	3	3
58	и как	2	3
59	одним из	3	3
60	но это	6	3
61	такой же	3	3
62	в этой	3	3
63	и он	6	3
64	в сущности	7	3
65	во всех	5	3
66	отношению к	5	3
67	себе и	3	3
68	в их	4	3
69	то и	2	3
70	и для	3	3
71	так как	5	3
72	но с	2	3
73	тем же	3	3
74	с точки	9	3
75	а в	2	3
76	и его	6	3
77	и с	7	3
78	в данном	2	3
79	в другом	2	3
80	ничего не	2	3
81	на этом	3	2
82	том числе	4	2
83	уже в	4	2
84	не было	2	2
85	к жизни	2	2
86	же как	2	2
87	у него	5	2
88	себя и	3	2
89	для этого	2	2
90	в конце	3	2
91	в виду	4	2
92	в одном	11	2
93	в жизни	5	2
94	в каждом	6	2
95	вовсе не	9	2
96	на два	3	2
97	и к	9	2
98	слово не	9	2
99	для нас	2	2
100	ведь мы	2	2
101	все что	2	2
102	и нет	4	2
103	ведь это	3	2
104	до конца	4	2
105	еще не	7	2
106	было бы	3	2
107	и сам	5	2
108	из своих	2	2
109	свое время	2	2
110	как бы	19	2
111	в свое	2	2
112	если в	2	2
113	в руках	2	2
114	что и	3	2
115	как он	3	2
116	все же	4	2
117	с ее	3	2
118	не к	3	2
119	могут быть	2	2
120	и до	3	2
121	мысли и	2	2
122	при всем	2	2
123	как раз	7	2
124	и одновременно	2	2
125	и только	3	2
126	той же	3	2
127	все равно	2	2
128	художественного видения	2	2
129	к своему	3	2
130	уже не	4	2
131	и что	3	2
132	героя в	3	2
133	и наконец	4	2
134	хотя бы	2	2
135	речь в	2	2
136	друг друга	6	2
137	не знает	4	2
138	в результате	2	2
139	потому что	4	2
140	на себя	4	2
141	он и	4	2
142	что я	6	2
143	ту же	2	2
144	о том	5	2
145	в художественном	2	2
146	с ним	2	2
147	в него	6	2
148	себя как	3	2
149	могло бы	2	2
150	но в	6	2
151	одном из	2	2
