N	2gram	Tiupa_Narr_1	StatiiOP
1	и в	11	44
2	в том	8	36
3	что в	3	30
4	том что	7	29
5	в этом	12	21
6	то что	9	18
7	не только	31	18
8	а в	13	17
9	о том	4	17
10	и не	23	16
11	а не	13	16
12	может быть	15	15
13	в данном	11	14
14	в области	2	14
15	как в	4	13
16	не в	6	12
17	в первой	2	12
18	в тексте	13	12
19	у нас	3	11
20	в этой	6	11
21	самом деле	3	11
22	того чтобы	4	11
23	точки зрения	5	11
24	для того	3	10
25	что он	3	10
26	но и	27	10
27	но в	7	10
28	только в	12	10
29	с другой	2	9
30	если бы	7	9
31	в то	4	9
32	как и	13	9
33	того что	4	9
34	также и	3	9
35	так и	5	9
36	в его	6	9
37	все же	4	8
38	из них	4	8
39	не может	8	8
40	и его	10	8
41	это не	3	8
42	прежде всего	4	7
43	в самом	6	7
44	сих пор	2	7
45	до сих	2	7
46	другой стороны	2	7
47	этом отношении	3	7
48	сказать что	2	7
49	потому что	5	6
50	из этих	4	6
51	для него	4	6
52	в своей	5	6
53	данном случае	8	6
54	со стороны	8	6
55	именно в	3	6
56	в той	2	6
57	во всяком	2	6
58	дело в	2	6
59	хотя бы	2	6
60	всяком случае	2	6
61	не менее	3	5
62	никогда не	4	5
63	текста в	3	5
64	вплоть до	4	5
65	что мы	2	5
66	в нем	4	5
67	в целом	3	5
68	жизни и	6	5
69	то же	8	5
70	и даже	2	5
71	в слове	3	5
72	и то	3	5
73	речь идет	3	4
74	в частности	14	4
75	столь же	5	4
76	же время	4	4
77	в качестве	14	4
78	как раз	6	4
79	как бы	6	4
80	на то	2	4
81	дело не	2	4
82	не было	3	4
83	что у	4	4
84	во втором	6	4
85	не имеет	2	4
86	как будто	3	4
87	как это	3	4
88	не существует	3	3
89	и с	3	3
90	не является	3	3
91	а во	4	3
92	в конце	2	3
93	этих двух	2	3
94	так называемая	2	3
95	да и	2	3
96	об этом	6	3
97	в начале	3	3
98	то в	4	3
99	но не	4	3
100	а на	2	3
101	еще не	4	3
102	или иным	2	3
103	что не	2	3
104	своего рода	10	3
105	и для	2	3
106	не по	4	3
107	в ней	4	3
108	и тем	4	3
109	его жизни	3	3
110	отношению к	3	3
111	внимание на	4	3
112	по отношению	3	3
113	и только	2	3
114	тем или	2	3
115	лишь в	3	3
116	тем же	2	3
117	в таком	2	3
118	в чем	2	3
119	в результате	2	3
120	что касается	2	3
121	между тем	3	3
122	в этих	2	2
123	в случае	2	2
124	в своем	3	2
125	имеем дело	2	2
126	не всегда	3	2
127	что на	4	2
128	раз в	2	2
129	ли не	2	2
130	идет о	3	2
131	если не	2	2
132	в москве	2	2
133	при этом	19	2
134	быть и	2	2
135	она не	2	2
136	но именно	3	2
137	в сущности	2	2
138	но для	3	2
139	а также	6	2
140	если в	2	2
141	тем не	3	2
142	в первом	4	2
143	такого рода	10	2
144	времени но	2	2
145	и тогда	2	2
146	начиная с	3	2
147	о них	3	2
148	тем самым	5	2
149	мы не	3	2
150	ничего не	2	2
151	дело с	2	2
152	их в	3	2
153	у него	7	2
154	однако и	4	2
155	он не	3	2
156	в себе	6	2
157	в сознании	4	2
158	не могла	2	2
159	как правило	5	2
160	в равной	2	2
161	и все	3	2
162	к нему	4	2
163	могло бы	3	2
164	мы имеем	3	2
165	то есть	9	2
