N	2gram	Bakhtin_sl_2	Komedia
1	и в	39	22
2	том что	5	12
3	в том	5	11
4	но и	21	11
5	не только	24	10
6	в то	4	10
7	как и	6	9
8	и т	35	9
9	может быть	37	9
10	в одном	2	8
11	таким образом	8	8
12	и не	22	8
13	и его	33	8
14	о том	2	8
15	и других	4	7
16	что в	3	6
17	в отношении	4	6
18	что он	2	6
19	ни в	4	6
20	то же	4	6
21	не в	9	6
22	а в	4	6
23	уже в	2	5
24	с другой	5	5
25	прежде всего	8	5
26	при этом	7	5
27	со своим	9	5
28	в его	7	5
29	один из	5	5
30	на его	2	5
31	в истории	11	5
32	так и	15	5
33	как в	13	5
34	все это	16	5
35	и даже	7	5
36	т п	33	5
37	между тем	3	5
38	именно в	2	4
39	в их	2	4
40	как мы	7	4
41	в другом	2	4
42	на протяжении	2	4
43	же время	4	4
44	а также	3	4
45	и особенно	2	4
46	в нем	19	4
47	что и	3	4
48	на него	2	4
49	так в	2	4
50	т д	2	4
51	в результате	2	4
52	действующих лиц	2	4
53	точки зрения	8	4
54	так как	4	4
55	но в	6	4
56	не менее	4	3
57	однако в	2	3
58	в них	6	3
59	новое время	2	3
60	и как	3	3
61	х годов	2	3
62	здесь в	3	3
63	одной стороны	5	3
64	у него	3	3
65	хотя и	2	3
66	он не	2	3
67	даже в	2	3
68	все же	6	3
69	отношению к	4	3
70	отношение к	4	3
71	по отношению	4	3
72	того как	2	3
73	этом отношении	3	3
74	с одной	5	3
75	мы не	2	3
76	и на	4	3
77	в более	2	3
78	в этом	16	3
79	и с	9	3
80	в виде	2	3
81	могут быть	7	3
82	только в	5	3
83	и все	5	3
84	его в	4	3
85	в чем	3	3
86	как это	3	3
87	и здесь	2	2
88	независимо от	2	2
89	для всех	4	2
90	за пределы	2	2
91	связанные с	4	2
92	и мир	4	2
93	вовсе не	10	2
94	в свою	3	2
95	и внутренней	2	2
96	точек зрения	3	2
97	художественный образ	4	2
98	мы видели	2	2
99	была поставлена	2	2
100	слова о	2	2
101	одна из	4	2
102	на этом	3	2
103	но не	6	2
104	именно на	2	2
105	в себя	2	2
106	до конца	17	2
107	до сих	2	2
108	еще не	7	2
109	в новое	4	2
110	всяком случае	2	2
111	с ее	2	2
112	то что	2	2
113	вместе с	2	2
114	все что	2	2
115	или менее	2	2
116	для этого	4	2
117	в сущности	6	2
118	не может	20	2
119	которых мы	2	2
120	в форме	2	2
121	к нему	3	2
122	или в	2	2
123	но это	3	2
124	во всяком	3	2
125	к ней	2	2
126	но он	2	2
127	в себе	2	2
128	ту же	3	2
129	на нем	2	2
130	отличие от	13	2
131	в области	2	2
132	сих пор	2	2
