N	2gram	Tiupa_Narr_1	RusskieA
1	и в	11	29
2	что в	3	22
3	том что	7	22
4	в том	8	22
5	в поле	3	19
6	как бы	6	18
7	состоит в	10	15
8	может быть	15	13
9	как и	13	11
10	одна из	4	11
11	в этом	12	11
12	и с	3	10
13	не только	31	10
14	а на	2	9
15	о том	4	9
16	а в	13	9
17	но и	27	8
18	данном случае	8	7
19	как в	4	7
20	или в	6	7
21	представляют собой	3	7
22	мы не	3	6
23	же в	2	6
24	еще не	4	6
25	для того	3	6
26	вместе с	2	6
27	при этом	19	6
28	того чтобы	4	6
29	и на	5	6
30	в данном	11	6
31	мы имеем	3	6
32	потому что	5	5
33	это не	3	5
34	то что	9	5
35	но не	4	5
36	к жизни	2	5
37	не может	8	5
38	на святках	2	5
39	но в	7	5
40	по полю	2	4
41	именно в	3	4
42	о чем	4	4
43	и все	3	4
44	а за	2	4
45	уже не	8	4
46	не в	6	4
47	из них	4	4
48	к нему	4	4
49	а также	6	4
50	то же	8	4
51	у нас	3	4
52	а не	13	4
53	в таком	2	4
54	их в	3	4
55	как это	3	4
56	в этих	2	3
57	в качестве	14	3
58	и от	2	3
59	не всегда	3	3
60	в году	2	3
61	она не	2	3
62	до конца	2	3
63	того что	4	3
64	о воскресении	3	3
65	и о	3	3
66	не имеет	2	3
67	в отличие	2	3
68	и через	2	3
69	друг друга	2	3
70	как мы	2	3
71	и после	2	3
72	тому как	3	3
73	между тем	3	3
74	подобно тому	3	3
75	в этой	6	3
76	отличие от	2	3
77	не менее	3	2
78	если она	2	2
79	начиная с	3	2
80	связи с	2	2
81	об этом	6	2
82	никогда не	4	2
83	переход от	2	2
84	между собой	2	2
85	жизни в	2	2
86	о них	3	2
87	с другой	2	2
88	них как	2	2
89	из этих	4	2
90	другой день	3	2
91	прежде всего	4	2
92	из наиболее	4	2
93	и как	3	2
94	человека который	2	2
95	на другой	5	2
96	для них	2	2
97	что на	4	2
98	тем не	3	2
99	за пределами	2	2
100	еще в	3	2
101	один из	6	2
102	на две	2	2
103	или просто	2	2
104	все же	4	2
105	в своей	5	2
106	этом и	4	2
107	дело не	2	2
108	в форме	2	2
109	где они	2	2
110	тогда как	10	2
111	не было	3	2
112	и для	2	2
113	каждый из	2	2
114	так в	4	2
115	и то	3	2
116	на себя	4	2
117	и ее	3	2
118	и еще	2	2
119	в то	4	2
120	представляет собой	8	2
121	в состав	3	2
122	та же	2	2
