N	2gram	Savitsky_E_1	KulturaY
1	потому что	3	25
2	и в	37	23
3	т е	9	22
4	не только	18	20
5	в том	11	19
6	в этом	12	18
7	и не	14	16
8	было бы	8	15
9	так как	7	15
10	может быть	6	15
11	точки зрения	23	14
12	если бы	2	12
13	в самом	4	12
14	том что	6	11
15	того чтобы	6	11
16	в области	11	11
17	но в	14	11
18	что в	21	10
19	по себе	4	10
20	а не	2	10
21	вовсе не	6	9
22	вопрос о	4	9
23	то что	6	9
24	для того	6	9
25	хотя бы	15	9
26	можно было	3	9
27	не может	9	9
28	с другой	7	8
29	прежде всего	9	8
30	не в	5	8
31	иными словами	4	8
32	в качестве	14	8
33	и что	2	8
34	с точки	17	8
35	что это	2	7
36	в силу	2	7
37	но и	14	7
38	другой стороны	2	7
39	и с	2	7
40	в этой	2	6
41	но не	5	6
42	то же	15	6
43	этот вопрос	2	6
44	между тем	8	6
45	и на	6	6
46	не могут	2	5
47	должна быть	2	5
48	что все	2	5
49	этом смысле	3	5
50	несмотря на	4	5
51	в его	2	5
52	всяком случае	3	5
53	и тем	3	5
54	вместе с	2	5
55	что же	2	5
56	таким образом	2	5
57	там где	3	5
58	целый ряд	2	5
59	как это	4	5
60	и то	2	5
61	во всяком	3	5
62	само по	4	5
63	только в	9	5
64	также и	7	5
65	можно ли	3	4
66	отнюдь не	9	4
67	в них	3	4
68	но также	2	4
69	бы и	3	4
70	на то	6	4
71	можно сказать	4	4
72	к тому	8	4
73	что на	2	4
74	для нас	4	4
75	в пределах	25	4
76	или в	2	4
77	хотя и	2	4
78	как бы	6	4
79	со стороны	5	4
80	так же	9	4
81	не имеет	4	4
82	в данном	3	4
83	в результате	3	4
84	сказать что	4	4
85	могут быть	2	4
86	в каком	4	4
87	в то	16	4
88	так и	10	4
89	чем в	4	3
90	главным образом	2	3
91	же время	14	3
92	а также	7	3
93	же в	2	3
94	того же	3	3
95	меньшей степени	2	3
96	в ней	4	3
97	он не	2	3
98	в сфере	3	3
99	что и	3	3
100	как не	2	3
101	в процессе	4	3
102	всего в	2	3
103	как в	3	3
104	с этим	2	3
105	этом отношении	3	3
106	именно в	4	3
107	это так	3	3
108	как мы	5	3
109	того что	7	3
110	и по	5	3
111	а в	2	3
112	тем что	3	3
113	есть в	2	3
114	всего лишь	3	3
115	в отношении	32	2
116	и более	2	2
117	же как	5	2
118	с тем	3	2
119	себе не	3	2
120	в частности	5	2
121	никогда не	3	2
122	но даже	4	2
123	с этой	6	2
124	и от	3	2
125	и все	2	2
126	или иного	4	2
127	говоря уже	2	2
128	утверждать что	2	2
129	и потому	5	2
130	с одной	8	2
131	что если	2	2
132	свою очередь	2	2
133	очевидно что	3	2
134	не более	3	2
135	в свою	3	2
136	как будто	2	2
137	ли это	3	2
138	она не	2	2
139	и если	2	2
140	меньше чем	2	2
141	между прочим	7	2
142	по преимуществу	2	2
143	того или	4	2
144	и даже	6	2
145	к нему	2	2
146	мы видели	3	2
147	по сравнению	2	2
148	в своей	8	2
149	не говоря	2	2
150	данном случае	2	2
151	а именно	2	2
152	в их	11	2
153	в своем	14	2
154	не на	4	2
155	следовало бы	2	2
156	и для	3	2
157	тем меньше	2	2
158	как и	7	2
159	этой точки	5	2
160	и сейчас	2	2
161	в той	5	2
162	является ли	3	2
163	тем самым	5	2
164	на этот	2	2
165	в которых	3	2
166	от этого	5	2
167	в своих	2	2
168	и еще	2	2
169	ни на	3	2
170	мы должны	2	2
171	заключается в	2	2
172	большинстве случаев	3	2
173	то не	2	2
