N	2gram	Ircho_Kome_2	Sovremen
1	не может	3	17
2	точки зрения	4	12
3	может быть	11	12
4	таким образом	6	11
5	мы не	2	9
6	в каждом	3	8
7	в этом	10	7
8	и в	26	7
9	и не	14	6
10	как и	4	6
11	мы можем	3	6
12	прежде всего	4	5
13	как бы	2	4
14	нет и	2	4
15	в развитии	2	4
16	в целом	4	4
17	жизни и	3	4
18	вместе с	9	4
19	это не	2	4
20	а в	3	4
21	вопрос о	3	4
22	не только	7	4
23	в том	11	4
24	из них	7	4
25	так как	4	4
26	уже в	4	3
27	все же	4	3
28	отнюдь не	2	3
29	все это	3	3
30	в конце	2	3
31	то же	3	3
32	ясно что	8	3
33	в нем	6	3
34	и к	2	3
35	для нас	3	3
36	с самого	2	3
37	не в	2	3
38	в этой	3	3
39	одна из	2	3
40	так называемых	2	3
41	еще не	6	3
42	было бы	8	3
43	в одном	2	3
44	и все	2	3
45	как он	3	3
46	в первом	2	3
47	что она	2	3
48	но в	3	3
49	что это	4	2
50	не менее	4	2
51	и есть	2	2
52	у него	4	2
53	в нашем	2	2
54	и во	2	2
55	в отличие	2	2
56	из этих	4	2
57	с одной	2	2
58	еще более	2	2
59	как мы	4	2
60	и что	2	2
61	роль в	2	2
62	из которых	3	2
63	на этот	4	2
64	мы знаем	3	2
65	той же	3	2
66	то ни	2	2
67	но все	3	2
68	из четырех	2	2
69	во всяком	2	2
70	на этом	2	2
71	а на	2	2
72	с этим	5	2
73	как известно	2	2
74	что в	9	2
75	говорить о	2	2
76	с другом	2	2
77	тот же	2	2
78	в один	2	2
79	в самом	4	2
80	ни одна	2	2
81	друг с	2	2
82	в которой	5	2
83	отличие от	2	2
84	в его	4	2
85	всяком случае	2	2
