N	2gram	Berdyaev_V_1	Myshleni
1	и в	16	25
2	в том	3	23
3	том что	2	20
4	что в	3	17
5	с тем	2	16
6	как и	4	15
7	то что	9	15
8	в его	4	15
9	в этом	4	14
10	так как	9	12
11	что они	7	10
12	как бы	5	10
13	и не	20	10
14	и что	3	10
15	того что	5	10
16	что и	3	10
17	только в	2	10
18	мы не	2	9
19	ни в	3	9
20	того чтобы	2	8
21	тем что	2	8
22	все эти	3	7
23	что мы	4	7
24	не в	3	6
25	один из	2	6
26	потому что	4	6
27	от этого	3	6
28	что он	4	6
29	но не	2	6
30	не только	2	6
31	все это	5	6
32	можно было	2	6
33	так и	4	5
34	но это	3	5
35	для него	2	5
36	значения и	2	5
37	человека и	6	5
38	могут быть	2	5
39	не могут	2	4
40	никогда не	3	4
41	прежде всего	2	4
42	к тому	3	4
43	но и	5	4
44	а в	2	4
45	с ним	2	4
46	и все	4	4
47	еще не	8	4
48	по пути	5	4
49	которые не	2	4
50	во всяком	2	4
51	и это	2	4
52	не создает	2	3
53	в себя	2	3
54	когда в	2	3
55	и сам	2	3
56	вслед за	2	3
57	в котором	4	3
58	на том	2	3
59	их в	3	3
60	между тем	2	3
61	по этому	3	3
62	в жизни	3	3
63	его к	2	3
64	не есть	6	3
65	а с	2	3
66	является в	2	3
67	не могли	2	3
68	в этих	3	2
69	тому что	3	2
70	для нас	2	2
71	мы и	2	2
72	хотя и	5	2
73	в нем	4	2
74	от этих	2	2
75	должно быть	3	2
76	на себя	5	2
77	с его	3	2
78	в них	3	2
79	и во	2	2
80	одна из	2	2
81	все что	4	2
82	это мы	2	2
83	тот же	3	2
84	и потому	7	2
85	оно не	3	2
86	не будет	2	2
87	в мире	5	2
88	в своей	3	2
89	уже не	2	2
90	и для	3	2
91	и то	2	2
92	в чем	3	2
