N	2gram	Vinokur_St_1	Poddanst
1	не только	18	17
2	и в	44	14
3	и не	16	12
4	в области	14	11
5	в отношении	9	10
6	в этом	21	10
7	то же	5	9
8	в том	36	9
9	в качестве	4	9
10	но в	10	9
11	хотя бы	6	8
12	же время	4	7
13	в то	9	7
14	только в	10	7
15	е с	3	6
16	но и	10	6
17	в ней	3	6
18	было бы	17	6
19	с другой	9	5
20	п о	2	5
21	не в	12	5
22	в которых	5	5
23	может быть	15	5
24	в котором	5	4
25	то что	18	4
26	что в	30	4
27	если бы	9	4
28	в своем	2	4
29	не может	8	4
30	но также	9	4
31	а в	17	4
32	том что	29	4
33	а также	2	4
34	как бы	4	4
35	и потому	2	4
36	в нем	5	3
37	и т	30	3
38	в россии	4	3
39	и без	3	3
40	столь же	4	3
41	это не	8	3
42	с одной	3	3
43	т е	15	3
44	прежде всего	7	3
45	заключается в	4	3
46	тем самым	2	3
47	для того	10	3
48	с точки	8	3
49	мы не	2	3
50	между тем	3	3
51	но не	3	3
52	могут быть	5	3
53	точки зрения	11	3
54	в себе	2	3
55	что мы	5	3
56	одной стороны	2	3
57	потому что	6	3
58	не менее	5	2
59	том числе	2	2
60	и тем	3	2
61	именно в	6	2
62	во всех	8	2
63	в частности	4	2
64	тем более	4	2
65	со стороны	6	2
66	все это	5	2
67	и и	2	2
68	как раз	4	2
69	д д	6	2
70	отношения к	2	2
71	с этим	3	2
72	между прочим	2	2
73	еще более	4	2
74	думать что	2	2
75	а не	16	2
76	того что	9	2
77	для нас	7	2
78	в ее	4	2
79	говорить о	2	2
80	если в	2	2
81	есть в	2	2
82	в виде	3	2
83	г и	2	2
84	не было	4	2
85	в начале	3	2
86	из них	8	2
87	нужно было	2	2
88	более чем	2	2
89	например в	8	2
90	и это	2	2
91	культуры в	3	2
92	в статье	7	2
93	да и	3	2
94	в его	9	2
95	и с	3	2
