N	2gram	Tiupa_Disk_2	Problema
1	то что	5	42
2	то есть	12	33
3	и в	16	32
4	и не	15	31
5	не менее	7	19
6	в этом	16	19
7	не только	10	17
8	потому что	4	16
9	а не	14	15
10	в себе	19	15
11	как бы	4	14
12	может быть	16	14
13	но в	11	14
14	в нем	7	13
15	что в	5	12
16	том что	10	12
17	так и	9	12
18	также и	3	11
19	о том	4	11
20	то же	6	10
21	прежде всего	7	10
22	в этой	4	10
23	отнюдь не	6	10
24	но не	7	9
25	в том	8	9
26	но и	11	9
27	еще не	6	9
28	что же	2	9
29	в данном	7	9
30	и это	2	9
31	данном случае	6	8
32	не может	9	8
33	все эти	3	8
34	и на	5	8
35	в своей	6	8
36	но это	3	8
37	и ее	3	8
38	содержит в	2	7
39	никогда не	2	7
40	ни в	7	7
41	такого рода	9	7
42	все это	2	7
43	в них	3	7
44	и все	3	7
45	что он	2	7
46	только в	3	7
47	здесь не	2	7
48	и как	3	6
49	при этом	17	6
50	это не	3	6
51	говорить о	2	6
52	и то	4	6
53	его в	3	6
54	о чем	2	6
55	в то	5	6
56	в его	3	6
57	перед нами	3	5
58	в своем	5	5
59	или иной	3	5
60	можно сказать	3	5
61	есть в	2	5
62	той или	3	5
63	в котором	3	5
64	не является	4	5
65	некоторого рода	2	5
66	но уже	2	5
67	далеко не	2	5
68	именно в	2	4
69	не в	3	4
70	не было	3	4
71	а в	2	4
72	их в	2	4
73	а также	8	4
74	как в	8	4
75	входит в	2	4
76	тем самым	6	4
77	и для	2	4
78	в этих	3	3
79	с другой	5	3
80	известного рода	4	3
81	или из	2	3
82	из них	3	3
83	но она	3	3
84	другой стороны	2	3
85	и его	3	3
86	точки зрения	4	3
87	для себя	2	3
88	же касается	2	3
89	как и	16	3
90	того же	2	3
91	здесь в	3	3
92	не нужно	2	3
93	он не	3	3
94	может и	2	3
95	уже не	3	3
96	не на	2	3
97	с точки	2	3
98	пока еще	2	3
99	как будто	3	3
100	дело в	2	3
101	же как	2	2
102	одного и	3	2
103	этом случае	2	2
104	является не	2	2
105	момент в	2	2
106	для него	5	2
107	например в	3	2
108	не о	2	2
109	значение не	2	2
110	должно быть	2	2
111	в результате	2	2
112	и с	2	2
113	может иметь	2	2
114	одно из	4	2
115	из этих	3	2
116	к его	4	2
117	мы имеем	2	2
118	я и	4	2
119	между тем	2	2
120	что ни	2	2
121	с его	6	2
122	могут быть	3	2
123	а потом	2	2
124	у пушкина	2	2
125	или иного	2	2
126	на первый	2	2
127	и того	3	2
128	в качестве	16	2
129	и может	3	2
130	по преимуществу	2	2
131	о любви	2	2
132	что будет	2	2
133	вместе с	2	2
134	тому как	2	2
135	подобно тому	2	2
136	в области	2	2
