N	2gram	Vinokur_Vv_1	Analitik
1	не только	21	22
2	тогда как	2	20
3	и в	27	18
4	как и	5	14
5	в этом	34	14
6	но и	5	13
7	и его	5	13
8	в частности	3	12
9	том что	26	12
10	в качестве	7	12
11	и не	13	12
12	при этом	3	11
13	а в	5	10
14	как бы	5	10
15	может быть	24	9
16	со стороны	12	9
17	в тексте	4	9
18	что в	11	9
19	а не	3	9
20	в том	31	9
21	своего рода	3	8
22	и даже	5	8
23	с другой	8	7
24	но не	7	7
25	в его	10	7
26	отношению к	4	7
27	во второй	3	7
28	как раз	4	7
29	по отношению	4	7
30	к тому	4	6
31	не в	8	6
32	в начале	3	6
33	еще не	4	6
34	в этой	3	6
35	в их	11	6
36	о том	15	6
37	никогда не	3	5
38	однако в	3	5
39	в конце	3	5
40	прежде всего	8	5
41	того же	3	5
42	такого рода	2	5
43	в самом	12	5
44	что и	3	5
45	другой стороны	5	5
46	в сущности	3	5
47	уже не	5	5
48	той же	4	5
49	в результате	3	5
50	между тем	8	5
51	мы имеем	3	5
52	представляет собой	12	5
53	не менее	8	4
54	о чем	4	4
55	в своем	3	4
56	по крайней	4	4
57	в одном	4	4
58	состоит в	2	4
59	по себе	9	4
60	что он	4	4
61	можно сказать	3	4
62	и как	9	4
63	себя в	2	4
64	во втором	2	4
65	и сам	2	4
66	не есть	4	4
67	крайней мере	4	4
68	все же	8	4
69	внимание на	4	4
70	таким образом	19	4
71	и на	3	4
72	в данном	11	4
73	уже в	5	3
74	в каждом	4	3
75	и без	2	3
76	не столько	2	3
77	из этих	5	3
78	к этому	3	3
79	в ее	11	3
80	и того	2	3
81	было бы	5	3
82	же время	5	3
83	с их	5	3
84	в целом	5	3
85	дело не	3	3
86	данном случае	5	3
87	все это	6	3
88	дело с	6	3
89	то же	8	3
90	этом отношении	3	3
91	еще и	3	3
92	именно в	8	3
93	на языке	2	3
94	что не	5	3
95	по его	2	3
96	мы не	2	3
97	ничего не	2	3
98	с этим	2	3
99	точки зрения	7	3
100	он и	2	3
101	одного и	2	3
102	но как	2	3
103	говорить о	3	3
104	во всем	2	3
105	в то	5	3
106	однако с	2	3
107	его в	6	3
108	здесь не	2	3
109	ответ на	3	3
110	в особенности	4	3
111	как это	5	3
112	нашего времени	2	3
113	истории не	2	2
114	сама по	3	2
115	бы и	2	2
116	могут быть	4	2
117	все эти	3	2
118	в них	4	2
119	это не	8	2
120	не как	3	2
121	в нем	13	2
122	как уже	2	2
123	есть не	3	2
124	и ее	4	2
125	в тех	2	2
126	произведения и	2	2
127	несмотря на	2	2
128	о которых	2	2
129	тем не	8	2
130	да и	4	2
131	говорит о	3	2
132	в соответствии	2	2
133	в дальнейшем	2	2
134	одна из	2	2
135	без остатка	2	2
136	с тем	6	2
137	по своему	5	2
138	что несмотря	2	2
139	к тексту	2	2
140	обе эти	2	2
141	одной стороны	4	2
142	в общем	12	2
143	например в	2	2
144	и той	2	2
145	хотя и	3	2
146	в ней	3	2
147	об этом	5	2
148	а также	3	2
149	свое время	2	2
150	всяком случае	3	2
151	гораздо более	3	2
152	один из	6	2
153	не с	2	2
154	то что	17	2
155	в первом	5	2
156	во всех	2	2
157	вместе с	6	2
158	что она	3	2
159	в форме	2	2
160	не может	13	2
161	в отличие	3	2
162	входит в	2	2
163	с одной	4	2
164	но с	4	2
165	одной и	2	2
166	и вот	3	2
167	о которой	2	2
168	в той	7	2
169	самом деле	6	2
170	в значительной	2	2
171	не мог	2	2
172	в принципе	2	2
173	с точки	2	2
174	и для	4	2
175	сказать что	5	2
176	во всяком	3	2
177	мы можем	2	2
178	тем что	6	2
179	мере в	4	2
180	нуждается в	2	2
181	в себе	4	2
182	что мы	2	2
183	только в	13	2
184	и т.д	4	2
185	этого слова	2	2
186	в свое	2	2
187	дело в	3	2
188	хотя в	2	2
189	когда мы	2	2
190	отличие от	3	2
191	художественной литературы	2	2
192	но в	10	2
