N	2gram	Losev_Dial_4	VLabPisa
1	таким образом	5	27
2	в этом	11	26
3	и в	15	25
4	и т	17	24
5	не только	8	22
6	может быть	17	21
7	хотя бы	4	20
8	и не	30	19
9	т е	46	17
10	не может	11	17
11	в его	4	15
12	т д	15	15
13	прежде всего	11	13
14	в том	11	13
15	в частности	2	12
16	все это	9	12
17	как это	2	12
18	в силу	4	11
19	из них	2	11
20	не могут	2	10
21	в качестве	2	10
22	о том	5	10
23	к этому	3	9
24	об этом	3	9
25	что в	7	9
26	но и	4	9
27	то же	9	9
28	все эти	3	8
29	на основании	3	8
30	в своем	5	8
31	другой стороны	2	8
32	могут быть	3	8
33	ни один	2	8
34	из этих	2	7
35	как и	7	7
36	том что	10	7
37	было бы	9	7
38	говорит о	3	7
39	во всех	2	7
40	вместе с	2	7
41	не было	2	7
42	а не	18	7
43	это не	12	6
44	в себе	8	6
45	идеи и	4	6
46	это и	9	6
47	то что	16	6
48	главным образом	2	6
49	в нем	5	6
50	так и	5	6
51	бы и	3	6
52	и его	7	6
53	в то	6	6
54	в результате	6	5
55	же время	6	5
56	все же	2	5
57	и при	2	5
58	и есть	19	5
59	как бы	14	5
60	один из	4	5
61	в их	3	5
62	сказать что	6	5
63	только в	7	5
64	не в	8	5
65	никогда не	2	4
66	перед нами	6	4
67	равно как	2	4
68	в одном	4	4
69	что все	4	4
70	что он	7	4
71	с его	5	4
72	можно сказать	5	4
73	в ее	2	4
74	в своей	3	4
75	в нашей	2	4
76	в самом	2	4
77	когда он	3	4
78	вот как	2	4
79	художественное произведение	2	4
80	как раз	4	4
81	в них	2	4
82	вот почему	3	4
83	с ними	4	4
84	чем же	2	4
85	в этой	4	4
86	познания и	2	4
87	в противоположность	2	3
88	и ее	8	3
89	с тем	4	3
90	и как	4	3
91	даже и	3	3
92	человека и	2	3
93	только что	2	3
94	у нас	3	3
95	что они	4	3
96	но как	2	3
97	как о	2	3
98	или в	7	3
99	с этим	3	3
100	что не	3	3
101	в виду	9	3
102	в котором	2	3
103	нет и	2	3
104	что и	6	3
105	жизни и	4	3
106	и их	2	3
107	ее в	2	3
108	именно в	5	3
109	того что	13	3
110	и по	2	3
111	так же	4	3
112	никак не	2	3
113	точки зрения	14	3
114	она не	4	3
115	бы в	4	3
116	том как	2	3
117	не менее	2	2
118	только не	3	2
119	образа в	2	2
120	по крайней	7	2
121	такое понимание	2	2
122	не всегда	3	2
123	в жизни	5	2
124	вовсе не	6	2
125	а как	2	2
126	по себе	13	2
127	показывает что	2	2
128	только о	3	2
129	в целях	2	2
130	крайней мере	7	2
131	и потому	3	2
132	но для	2	2
133	в пользу	2	2
134	еще не	4	2
135	и может	2	2
136	для того	5	2
137	одной из	2	2
138	если бы	6	2
139	мы имеем	5	2
140	ни одна	2	2
141	ни с	4	2
142	в ней	5	2
143	что она	5	2
144	и даже	6	2
145	отнюдь не	4	2
146	идеи в	2	2
147	при помощи	3	2
148	не по	2	2
149	от того	2	2
150	даже не	2	2
151	во всей	2	2
152	бы не	2	2
153	в особенности	4	2
154	что оно	7	2
155	в течение	4	2
156	этой точки	2	2
157	заключается в	2	2
158	того чтобы	5	2
159	из которых	3	2
160	должны быть	4	2
161	что такое	5	2
162	и для	5	2
163	между собою	2	2
164	тому как	4	2
165	также и	4	2
166	во всяком	2	2
167	хотя и	6	2
168	лишь в	2	2
169	не о	4	2
170	подобно тому	4	2
171	говорить о	11	2
172	что даже	2	2
173	что мы	7	2
174	того или	2	2
175	в чем	8	2
176	в которой	2	2
177	которая не	2	2
178	в области	3	2
179	тогда когда	5	2
180	нет ни	3	2
181	но в	3	2
182	значит что	9	2
