N	2gram	Vinokur_Ku_2	TeoriaLi
1	не только	20	18
2	в качестве	8	17
3	и не	16	16
4	а в	3	14
5	в частности	2	13
6	и в	23	13
7	состоит в	2	13
8	может быть	15	12
9	так и	4	12
10	при этом	2	11
11	в этом	18	11
12	в том	19	11
13	но не	6	10
14	а не	10	10
15	и его	3	10
16	в его	5	9
17	то же	6	9
18	сводится к	3	8
19	что в	10	8
20	своего рода	4	8
21	но и	7	8
22	том что	11	7
23	в отличие	2	7
24	в данном	4	7
25	точки зрения	14	7
26	в то	4	7
27	только в	5	7
28	как это	5	7
29	отличие от	2	7
30	же время	3	6
31	еще не	5	6
32	лишь в	5	6
33	как бы	4	6
34	но в	11	6
35	в своем	2	5
36	или иного	2	5
37	а также	3	5
38	как и	2	5
39	не в	8	5
40	в пределах	4	5
41	в самом	12	5
42	того или	2	5
43	в нем	4	5
44	данном случае	2	5
45	как в	3	5
46	он не	3	5
47	уже не	8	5
48	тем самым	2	5
49	с другой	8	5
50	между тем	6	5
51	мы имеем	5	5
52	не менее	7	4
53	конечном счете	2	4
54	в свою	2	4
55	можно сказать	4	4
56	ни в	4	4
57	в конечном	2	4
58	в своей	2	4
59	то что	9	4
60	по преимуществу	2	4
61	в форме	3	4
62	в их	2	4
63	приводит к	5	4
64	не может	9	4
65	сказать что	4	4
66	хотя и	4	4
67	говорить о	4	4
68	не знает	3	4
69	всего лишь	3	4
70	слова в	6	3
71	ни к	15	3
72	перед нами	4	3
73	никогда не	2	3
74	в нашем	7	3
75	в отношении	2	3
76	этом смысле	5	3
77	прежде всего	8	3
78	а только	3	3
79	тем не	6	3
80	в соответствии	3	3
81	свою очередь	2	3
82	того что	3	3
83	и потому	2	3
84	этого слова	5	3
85	не все	3	3
86	другой стороны	7	3
87	как раз	3	3
88	так в	3	3
89	таким образом	5	3
90	именно в	3	3
91	в другом	2	3
92	и вот	5	3
93	и что	8	3
94	и по	3	3
95	или в	4	3
96	и то	5	3
97	потому что	25	3
98	речи и	5	3
99	что можно	3	3
100	в этой	6	3
101	все эти	12	3
102	я не	5	2
103	если бы	12	2
104	была бы	4	2
105	могут быть	4	2
106	в конце	4	2
107	того же	3	2
108	это не	6	2
109	на фоне	3	2
110	вовсе не	9	2
111	по себе	10	2
112	что он	5	2
113	к тому	4	2
114	об этом	5	2
115	данный момент	3	2
116	соответствии с	2	2
117	что они	2	2
118	казалось бы	3	2
119	а на	2	2
120	мы в	2	2
121	из которых	3	2
122	здесь мы	2	2
123	слова как	3	2
124	в виду	3	2
125	так или	2	2
126	и тем	5	2
127	к нему	2	2
128	слова не	3	2
129	вместе с	5	2
130	дело не	2	2
131	со стороны	4	2
132	а именно	2	2
133	не на	2	2
134	здесь не	3	2
135	и для	2	2
136	с одной	2	2
137	это и	3	2
138	в году	2	2
139	в той	2	2
140	и о	4	2
141	с точки	8	2
142	и даже	2	2
143	так же	4	2
144	роль в	2	2
145	или иначе	3	2
146	у него	3	2
147	и здесь	5	2
148	могла бы	2	2
149	как будто	2	2
150	не следует	5	2
151	и это	3	2
152	отношения к	2	2
153	в области	11	2
