N	2gram	Berdyaev_O_1	Problemy
1	и в	19	46
2	и не	13	27
3	может быть	11	23
4	как бы	3	19
5	не может	4	19
6	в нем	10	17
7	у достоевского	19	16
8	в этом	12	16
9	не только	11	14
10	но и	13	12
11	как и	6	12
12	и на	2	11
13	а не	11	11
14	не в	11	10
15	прежде всего	9	9
16	в том	5	9
17	в самом	5	9
18	и все	10	9
19	и к	2	9
20	в его	7	9
21	достоевского в	3	8
22	романах достоевского	3	7
23	и с	2	7
24	по себе	2	7
25	еще не	3	7
26	в себе	3	7
27	никогда не	9	6
28	хотя и	2	6
29	но в	2	6
30	произведений достоевского	2	6
31	что он	3	6
32	все это	6	6
33	и он	8	6
34	и его	4	6
35	это не	3	5
36	к нему	3	5
37	в самой	9	5
38	так как	2	5
39	в романах	4	5
40	с его	4	5
41	у него	22	5
42	о том	3	5
43	уже в	2	4
44	что в	4	4
45	в этих	3	4
46	до конца	7	4
47	и нет	2	4
48	все эти	4	4
49	должно быть	2	4
50	потому что	9	4
51	любовь к	2	4
52	том что	2	4
53	он не	7	4
54	все же	2	4
55	то что	5	4
56	так и	2	4
57	человека и	10	3
58	не могут	3	3
59	в своем	2	3
60	достоевского но	2	3
61	и для	2	3
62	отношение к	5	3
63	достоевского все	4	3
64	ни у	2	3
65	но он	7	3
66	в единстве	2	3
67	ведь это	2	3
68	было бы	3	3
69	в своей	2	3
70	и о	2	3
71	что и	2	3
72	героев достоевского	2	3
73	него в	5	3
74	что же	2	3
75	тем что	2	3
76	в этой	5	3
77	и этим	2	3
78	он сам	4	2
79	только и	4	2
80	мысли и	3	2
81	достоевского и	5	2
82	вопрос о	10	2
83	все в	4	2
84	так что	2	2
85	и любовь	2	2
86	для него	5	2
87	и мысли	4	2
88	преступлении и	3	2
89	в других	2	2
90	не было	9	2
91	творчество достоевского	2	2
92	лишь в	7	2
93	а в	5	2
94	сказать что	2	2
95	для достоевского	5	2
96	с ним	3	2
97	романов достоевского	2	2
98	в преступлении	4	2
99	все что	3	2
100	которую он	2	2
101	к ней	2	2
102	и наказании	3	2
103	когда он	3	2
104	самого достоевского	3	2
105	хотя бы	3	2
106	ничего не	2	2
107	могут быть	3	2
108	в другом	2	2
109	к достоевскому	2	2
110	не могли	2	2
