N	2gram	Trubetskoy_1	Psycholo
1	в том	11	37
2	и в	26	32
3	и что	4	22
4	том что	7	21
5	то что	7	21
6	таким образом	22	21
7	потому что	7	21
8	то есть	4	21
9	что в	9	20
10	так же	5	18
11	может быть	10	18
12	что и	6	17
13	не может	4	17
14	точки зрения	13	17
15	того чтобы	5	14
16	что он	4	13
17	при этом	3	13
18	то же	4	13
19	для того	5	13
20	в этом	15	13
21	в самом	4	12
22	не только	10	12
23	так как	9	12
24	на то	2	11
25	с тем	18	11
26	когда он	3	10
27	но и	9	10
28	и не	8	10
29	с точки	6	10
30	никогда не	5	9
31	что все	4	9
32	что это	3	8
33	не менее	3	8
34	не в	2	8
35	того что	3	8
36	к тому	6	7
37	ясно что	3	7
38	и как	3	7
39	а не	5	7
40	все эти	6	7
41	сказать что	2	7
42	только в	4	7
43	в этой	4	6
44	тот же	2	6
45	и из	2	6
46	он не	4	6
47	как бы	12	6
48	целый ряд	4	6
49	те же	2	6
50	же самое	2	6
51	о том	6	6
52	если бы	3	6
53	на все	2	5
54	вслед за	2	5
55	далеко не	4	5
56	до сих	5	5
57	сих пор	5	5
58	все это	6	5
59	этом отношении	2	5
60	и даже	3	5
61	как на	8	5
62	и на	2	5
63	в то	4	5
64	же как	3	4
65	из которого	3	4
66	с этой	3	4
67	утверждать что	2	4
68	тем не	3	4
69	несмотря на	6	4
70	из этого	2	4
71	и по	4	4
72	в нем	4	4
73	все же	6	4
74	при таком	2	4
75	из них	7	4
76	жизни и	2	4
77	а в	4	4
78	и все	2	4
79	мы имеем	2	4
80	не имеет	5	4
81	и для	5	4
82	и те	3	4
83	и с	10	4
84	и это	2	4
85	которые в	2	4
86	между тем	2	4
87	в общем	8	3
88	по своему	2	3
89	не могут	2	3
90	главным образом	8	3
91	состоит в	2	3
92	к которым	2	3
93	для этого	2	3
94	хотя бы	3	3
95	с другой	8	3
96	не как	2	3
97	в конце	6	3
98	точно так	3	3
99	представление о	6	3
100	и к	5	3
101	по существу	2	3
102	так что	3	3
103	что именно	2	3
104	том виде	2	3
105	в свою	2	3
106	и другой	2	3
107	конце концов	3	3
108	относится к	2	3
109	один из	2	3
110	так и	6	3
111	не к	2	3
112	во всех	2	3
113	в отношении	6	3
114	образом в	5	3
115	и сейчас	2	3
116	в смысле	4	3
117	он в	2	3
118	в которых	4	3
119	мы должны	6	3
120	тогда когда	2	3
121	но в	7	3
122	в виду	2	3
123	мы можем	2	3
124	по учению	3	2
125	есть как	2	2
126	с его	2	2
127	в них	2	2
128	все что	2	2
129	сравнению с	2	2
130	то ни	2	2
131	но когда	2	2
132	и от	4	2
133	из всех	3	2
134	с другими	4	2
135	в одном	3	2
136	они в	2	2
137	этой точки	2	2
138	во всяком	6	2
139	и здесь	2	2
140	тем и	2	2
141	же время	2	2
142	и при	3	2
143	его от	2	2
144	еще не	2	2
145	но не	8	2
146	сознании и	2	2
147	того же	6	2
148	по сравнению	2	2
149	из которых	4	2
150	должен был	4	2
151	к нему	7	2
152	к ним	3	2
153	в его	5	2
154	из себя	2	2
155	не вполне	3	2
156	всяком случае	6	2
157	если в	3	2
158	бы то	2	2
159	в этих	4	2
160	отношение к	5	2
161	в процессе	2	2
162	вместе с	15	2
163	отличается от	2	2
164	заключает в	2	2
165	вплоть до	2	2
166	ни у	2	2
167	а с	7	2
168	не было	2	2
169	что оно	4	2
170	у всех	2	2
171	в самой	2	2
172	и у	8	2
173	самых древних	2	2
174	на этот	4	2
175	то или	2	2
176	в других	3	2
177	у них	3	2
178	в таком	3	2
179	ли это	2	2
180	в себе	6	2
181	и таким	3	2
182	и только	4	2
183	в русском	2	2
184	с того	2	2
185	не потому	2	2
186	в которой	3	2
187	к которому	2	2
