N	2gram	Propp_Russ_1	Myshleni
1	в том	17	28
2	и в	36	28
3	то что	6	28
4	в этом	12	27
5	того что	4	24
6	потому что	10	22
7	не может	4	19
8	том что	19	19
9	таким образом	6	18
10	только в	4	18
11	что в	19	17
12	в силу	2	17
13	не только	22	16
14	так же	3	15
15	может быть	8	13
16	точки зрения	3	13
17	тому что	4	11
18	и не	6	11
19	как бы	5	11
20	к тому	4	10
21	как мы	10	10
22	но и	16	10
23	так как	15	10
24	но не	2	10
25	с точки	3	10
26	между собой	2	9
27	мы можем	2	9
28	еще не	4	8
29	тем что	4	8
30	показывает что	5	7
31	в нем	2	7
32	в своем	3	7
33	и других	7	7
34	мы видим	2	7
35	как известно	2	7
36	вместе с	10	7
37	то же	3	7
38	там где	2	7
39	и к	3	6
40	так что	2	6
41	и как	2	6
42	и что	4	6
43	не имеет	6	6
44	как и	10	6
45	так и	7	6
46	приводит к	3	6
47	мы не	6	6
48	в области	3	6
49	это не	10	5
50	на этой	2	5
51	в свете	2	5
52	в разных	3	5
53	и на	10	5
54	но в	2	5
55	с тем	8	5
56	том же	2	5
57	того как	5	5
58	могут быть	2	5
59	в частности	2	4
60	в нашем	2	4
61	что на	4	4
62	на этом	3	4
63	переход от	2	4
64	но что	2	4
65	например в	2	4
66	нас к	2	4
67	на этот	3	4
68	к жизни	3	4
69	с этим	2	4
70	мы имеем	4	4
71	к другому	2	4
72	в качестве	3	4
73	к другу	2	4
74	что и	7	4
75	во всех	4	4
76	как по	2	4
77	только по	2	4
78	связь между	2	4
79	до того	2	3
80	независимо от	2	3
81	из этих	4	3
82	в каждом	2	3
83	как это	8	3
84	до конца	2	3
85	при этом	6	3
86	хотя и	2	3
87	в целом	2	3
88	в их	4	3
89	и по	8	3
90	в своих	2	3
91	и здесь	2	3
92	друг к	2	3
93	в них	6	3
94	связанные с	3	3
95	тем и	2	3
96	связи с	4	3
97	мы должны	2	3
98	один из	8	3
99	в его	2	3
100	с ней	2	3
101	как в	5	3
102	а не	2	3
103	этот вопрос	2	3
104	представляет собой	4	3
105	представляют собой	7	3
106	не менее	3	2
107	и другие	13	2
108	в этих	3	2
109	для этого	2	2
110	что именно	2	2
111	для нас	6	2
112	но это	4	2
113	и более	2	2
114	несмотря на	3	2
115	имеет место	2	2
116	как они	2	2
117	и др	4	2
118	из них	8	2
119	все это	6	2
120	в связи	4	2
121	все эти	2	2
122	к таким	3	2
123	в других	11	2
124	с ними	5	2
125	в которых	5	2
126	что у	2	2
127	с ним	2	2
128	между двумя	2	2
129	состоит в	8	2
130	какие же	2	2
131	у него	2	2
132	и непосредственно	2	2
133	в одном	3	2
134	не с	3	2
135	интерес к	2	2
136	увидим ниже	3	2
137	этом случае	5	2
138	у нас	8	2
139	по существу	4	2
140	в новый	6	2
141	чем в	2	2
142	животных и	4	2
143	она не	2	2
144	означает что	2	2
145	этого слова	3	2
146	еще в	4	2
147	все же	5	2
148	когда он	2	2
149	только на	3	2
150	не на	2	2
151	а и	5	2
152	а в	9	2
153	что они	7	2
