N	2gram	Savitsky_P_1	DiskursI
1	в себе	3	19
2	в качестве	9	16
3	и в	14	16
4	может быть	5	16
5	в этом	10	16
6	и не	12	15
7	а не	2	14
8	в частности	2	12
9	в мире	2	11
10	но и	6	11
11	но в	9	11
12	том что	4	10
13	не только	17	10
14	со стороны	2	10
15	не может	4	9
16	в том	9	8
17	а также	4	8
18	не менее	2	7
19	прежде всего	3	7
20	в нем	3	7
21	но не	3	7
22	отнюдь не	2	6
23	то же	9	6
24	тем самым	3	6
25	что в	4	5
26	в своем	4	5
27	с другой	5	5
28	же время	7	5
29	то что	4	5
30	в то	7	5
31	в пределах	8	4
32	одной стороны	3	4
33	как бы	4	4
34	с одной	3	4
35	потому что	3	4
36	точки зрения	3	4
37	я и	3	4
38	могут быть	3	3
39	в них	2	3
40	столь же	3	3
41	это не	3	3
42	не столько	2	3
43	было в	2	3
44	и как	3	3
45	не в	5	3
46	мысль о	2	3
47	например в	2	3
48	в его	2	3
49	в русской	4	3
50	в котором	4	3
51	из них	2	3
52	не было	2	3
53	как на	2	3
54	только в	7	3
55	стороны и	2	2
56	есть в	2	2
57	не нужно	2	2
58	из важнейших	2	2
59	в ряду	2	2
60	в ней	6	2
61	с точки	3	2
62	не к	2	2
63	время в	2	2
64	заключает в	2	2
65	может и	2	2
66	именно в	2	2
67	сводится к	3	2
68	все это	2	2
69	более чем	2	2
70	должно быть	2	2
71	а в	4	2
72	мира с	2	2
73	и с	2	2
74	не о	2	2
75	в сочетании	2	2
76	говорить о	2	2
77	и это	2	2
78	в области	11	2
79	между тем	3	2
