N	2gram	Nazirov_Tr_1	Problema
1	то есть	3	46
2	в его	3	43
3	и не	7	42
4	и в	18	38
5	не может	5	27
6	может быть	7	26
7	как бы	7	22
8	отнюдь не	3	19
9	и с	7	17
10	и его	6	16
11	в нем	4	15
12	в этом	9	15
13	прежде всего	4	13
14	ни в	2	11
15	к нему	3	10
16	отношение к	2	10
17	но и	4	9
18	не имеет	2	9
19	его в	2	9
20	не только	8	9
21	в том	2	8
22	и как	3	8
23	то что	4	8
24	что в	4	7
25	не в	2	7
26	в самом	2	7
27	как и	5	7
28	еще не	4	7
29	все же	5	6
30	ничего не	2	6
31	то же	5	5
32	в своем	3	5
33	это не	5	5
34	при этом	3	5
35	никогда не	2	5
36	все эти	3	5
37	должно быть	3	5
38	с ним	3	5
39	так и	5	5
40	в отличие	2	5
41	отличие от	2	5
42	данном случае	2	4
43	в то	5	4
44	о том	2	4
45	но в	6	4
46	но они	2	4
47	в ее	2	4
48	как в	3	4
49	в романе	10	4
50	тем самым	3	4
51	в данном	2	4
52	в себе	4	4
53	в известной	2	3
54	в дальнейшем	5	3
55	но это	4	3
56	же время	6	3
57	несмотря на	5	3
58	в целом	4	3
59	все это	4	3
60	и даже	4	3
61	и на	7	3
62	а как	2	3
63	и все	4	3
64	том что	4	3
65	он не	2	3
66	в мире	3	3
67	в таком	2	3
68	и это	2	3
69	я не	4	2
70	не могут	2	2
71	в частности	2	2
72	столь же	2	2
73	что все	2	2
74	ивана карамазова	2	2
75	по поводу	2	2
76	что это	5	2
77	и что	4	2
78	и здесь	2	2
79	как это	3	2
80	с его	2	2
81	раз и	2	2
82	что он	6	2
83	одна из	2	2
84	что и	2	2
85	и он	3	2
86	тем что	2	2
87	в виде	2	2
88	и ее	2	2
