N	2gram	Bakhtin_KF_1	Hudozhes
1	в мире	6	23
2	в качестве	2	19
3	и не	26	16
4	в том	6	15
5	и в	24	15
6	не только	5	15
7	может быть	45	13
8	при этом	4	12
9	а в	4	12
10	и его	17	12
11	но не	12	11
12	в этом	14	11
13	в себе	21	11
14	как бы	9	10
15	отношению к	22	10
16	но и	9	10
17	так и	2	10
18	по отношению	26	10
19	то же	5	10
20	а не	17	10
21	в его	40	9
22	точки зрения	12	9
23	себя в	8	8
24	сводится к	2	8
25	или иной	2	7
26	в принципе	2	7
27	в то	3	7
28	но в	5	7
29	я и	2	7
30	в основе	5	6
31	что в	4	6
32	в ее	16	6
33	том что	4	6
34	не в	12	6
35	же время	2	6
36	отношение к	5	6
37	не может	27	6
38	могут быть	3	5
39	ни в	12	5
40	только в	16	5
41	тем самым	4	5
42	того что	3	5
43	той или	3	5
44	в нем	28	5
45	с ее	2	5
46	то что	7	5
47	в их	8	5
48	уже не	7	5
49	место в	5	4
50	прежде всего	2	4
51	и как	2	4
52	в другом	3	4
53	для него	8	4
54	еще не	4	4
55	он не	6	4
56	жизни как	5	4
57	и тем	3	4
58	в своей	10	4
59	со стороны	7	4
60	как к	2	4
61	входит в	3	4
62	сознания в	2	4
63	и то	2	4
64	между тем	4	4
65	мы имеем	5	4
66	говорить о	2	4
67	не знает	5	4
68	и т.д	2	4
69	не менее	3	3
70	если бы	8	3
71	эстетического созерцания	5	3
72	это не	10	3
73	этом смысле	3	3
74	или иного	3	3
75	что он	2	3
76	тем не	2	3
77	и того	2	3
78	в акте	3	3
79	по своему	3	3
80	в свою	3	3
81	или иным	2	3
82	к содержанию	2	3
83	того или	3	3
84	к нему	12	3
85	не будет	2	3
86	в целом	10	3
87	ценностного центра	4	3
88	как и	5	3
89	лишь в	8	3
90	в единое	2	3
91	с точки	9	3
92	во всей	4	3
93	и для	9	3
94	потому что	2	3
95	и ее	2	3
96	в данном	2	3
97	его в	5	3
98	в области	2	3
99	в виду	3	3
100	слова в	2	2
101	во мне	3	2
102	я не	6	2
103	ни к	2	2
104	с человеком	3	2
105	ни был	2	2
106	в контексте	5	2
107	себя и	2	2
108	тому что	2	2
109	жизни в	5	2
110	в своем	16	2
111	не как	4	2
112	в одном	4	2
113	вовсе не	7	2
114	вследствие этого	2	2
115	по себе	2	2
116	при условии	2	2
117	данный момент	3	2
118	основе своей	2	2
119	времени и	4	2
120	могла бы	4	2
121	мира в	6	2
122	во всех	11	2
123	и потому	2	2
124	для себя	5	2
125	оно не	2	2
126	дело не	2	2
127	как в	2	2
128	было и	2	2
129	вытекает из	2	2
130	здесь не	3	2
131	а с	2	2
132	именно в	5	2
133	все эти	10	2
134	это и	2	2
135	в себя	7	2
136	этом мире	2	2
137	от себя	10	2
138	свою жизнь	2	2
139	того чтобы	2	2
140	для того	3	2
141	из которых	2	2
142	с ним	5	2
143	и на	3	2
144	всей своей	2	2
145	но как	5	2
146	в этой	2	2
147	отношении к	2	2
148	о том	3	2
149	жизни но	3	2
150	и это	12	2
151	всей его	2	2
152	автора как	2	2
153	мира и	4	2
154	в чем	4	2
155	в данный	3	2
156	бы не	3	2
157	для меня	20	2
