N	2gram	Vinokur_St_1	Literetu
1	и не	16	22
2	и в	44	16
3	при этом	2	15
4	не только	18	14
5	но и	10	14
6	в этом	21	14
7	а не	16	12
8	то что	18	12
9	может быть	15	12
10	в том	36	12
11	в частности	4	11
12	не в	12	10
13	такого рода	2	10
14	своего рода	3	10
15	то же	5	9
16	так и	9	9
17	того что	9	9
18	в то	9	9
19	том что	29	8
20	не может	8	8
21	в этой	11	8
22	как бы	4	8
23	в своей	6	7
24	же время	4	7
25	со стороны	6	7
26	тем самым	2	7
27	точки зрения	11	7
28	только в	10	7
29	с другой	9	6
30	еще не	3	6
31	в его	9	6
32	и его	8	6
33	в себе	2	6
34	в другом	3	6
35	о том	17	6
36	в качестве	4	5
37	это не	8	5
38	что он	10	5
39	в ее	4	5
40	как и	9	5
41	лишь в	3	5
42	в целом	5	5
43	как в	13	5
44	а именно	3	5
45	а в	17	5
46	этом отношении	7	5
47	именно в	6	5
48	в основе	3	5
49	то есть	2	5
50	но не	3	4
51	никогда не	5	4
52	даже в	3	4
53	по существу	2	4
54	одной стороны	2	4
55	в начале	3	4
56	и для	3	4
57	отношению к	3	4
58	из них	8	4
59	данном случае	6	4
60	в тексте	12	4
61	по отношению	3	4
62	с одной	3	4
63	а также	2	4
64	в данном	14	4
65	одно из	2	4
66	как будто	4	4
67	произведения в	2	3
68	том числе	2	3
69	прежде всего	7	3
70	в г	3	3
71	то в	3	3
72	совершенно не	5	3
73	например в	8	3
74	в самом	7	3
75	в сторону	2	3
76	в слове	5	3
77	я с	2	3
78	и тем	3	3
79	жизни и	5	3
80	бы и	4	3
81	самом деле	11	3
82	с точки	8	3
83	той же	5	3
84	потому что	6	3
85	по своей	2	3
86	уже о	5	3
87	в иных	2	3
88	там где	5	3
89	как это	4	3
90	отношения к	2	3
91	в области	14	3
92	но в	10	3
93	между тем	3	3
94	не надо	2	2
95	что в	30	2
96	не менее	5	2
97	если бы	9	2
98	так или	2	2
99	в случае	2	2
100	что у	4	2
101	как о	2	2
102	с этой	3	2
103	в конце	3	2
104	я не	7	2
105	не всегда	2	2
106	не знаю	2	2
107	вопрос о	4	2
108	ни с	3	2
109	на то	4	2
110	в нем	5	2
111	раз в	2	2
112	у нас	11	2
113	всякий раз	2	2
114	а на	3	2
115	числе и	2	2
116	того же	3	2
117	во втором	4	2
118	для него	6	2
119	и перед	2	2
120	было бы	17	2
121	и сам	2	2
122	со всеми	2	2
123	что не	3	2
124	в первой	12	2
125	несмотря на	2	2
126	во всех	8	2
127	вплоть до	5	2
128	для себя	3	2
129	то это	3	2
130	что и	6	2
131	все же	8	2
132	отношение к	2	2
133	во второй	9	2
134	никем не	2	2
135	и тогда	2	2
136	внимание на	3	2
137	так же	5	2
138	как раз	4	2
139	и только	3	2
140	если не	2	2
141	еще и	2	2
142	но с	3	2
143	из того	2	2
144	того чтобы	11	2
145	для того	10	2
146	о которой	3	2
147	другой стороны	7	2
148	и даже	5	2
149	или иначе	2	2
150	в своих	2	2
151	и с	3	2
152	тем что	5	2
153	и об	7	2
154	не знает	2	2
155	его в	2	2
156	в первом	2	2
157	и потому	2	2
158	если это	3	2
