N	3gram	Tiupa_Anal_2	Narrotol
1	в том что	6	8
2	в данном случае	5	6
3	не только в	2	6
4	в отличие от	2	5
5	по отношению к	4	5
6	с одной стороны	4	5
7	состоит в том	4	4
8	к тому же	4	4
9	тем не менее	3	4
10	о том что	6	4
11	в конечном счете	2	3
12	то же время	2	3
13	той или иной	3	3
14	в то же	2	3
15	в этом отношении	3	3
16	в соответствии с	2	3
17	того или иного	3	3
18	в ответ на	2	2
19	тогда как в	2	2
20	с точки зрения	2	2
21	подобно тому как	3	2
22	и тем самым	2	2
23	как уже говорилось	2	2
24	не только не	2	2
25	мы имеем дело	3	2
