N	3gram	Losev_Prob_3	Dialekti
1	и т д	13	15
2	с точки зрения	2	9
3	не есть ни	3	9
4	в том что	9	9
5	что иное как	4	8
6	не что иное	4	8
7	по крайней мере	5	7
8	это значит что	2	7
9	в то же	4	6
10	не может быть	5	6
11	ровно ничего не	2	6
12	сама по себе	8	5
13	есть не что	4	5
14	и тем более	2	4
15	что он есть	2	4
16	ни в каком	4	4
17	само по себе	3	4
18	то или иное	2	3
19	т д и	4	3
20	и в этом	6	3
21	той или другой	4	3
22	имеется в виду	4	3
23	не есть просто	2	3
24	или по крайней	4	3
25	и в частности	2	2
26	по сравнению с	2	2
27	та или иная	3	2
28	не имеет ничего	3	2
29	сам по себе	6	2
30	имеет ничего общего	3	2
31	никакого отношения к	3	2
32	того или другого	3	2
33	вовсе не в	2	2
34	тем не менее	10	2
35	ничего общего с	2	2
36	не имеет никакого	3	2
37	точно так же	3	2
38	о том как	2	2
39	этой точки зрения	2	2
40	д и т	4	2
41	в сравнении с	2	2
