N	2gram	Tiupa_Anal_2	Problemy
1	и в	16	43
2	и не	12	29
3	т е	2	26
4	может быть	6	23
5	как бы	10	22
6	не может	4	18
7	в пределах	9	16
8	но и	12	14
9	как и	14	14
10	точки зрения	4	13
11	в этом	18	13
12	в одном	2	12
13	не в	4	11
14	по себе	2	11
15	не только	16	11
16	прежде всего	3	10
17	и на	6	10
18	но в	6	10
19	в его	2	10
20	как мы	3	10
21	никогда не	3	9
22	голосов в	2	9
23	еще не	2	9
24	в сущности	4	9
25	он не	2	9
26	с самим	3	8
27	для него	4	8
28	лишь в	9	8
29	то же	4	8
30	с точки	2	8
31	и его	4	8
32	или в	3	8
33	о себе	2	7
34	и сам	3	7
35	в самом	6	7
36	ведь и	2	7
37	в то	2	7
38	то что	7	7
39	а не	10	7
40	в этих	2	6
41	в том	12	6
42	при этом	10	6
43	в котором	2	6
44	и все	3	6
45	у него	4	6
46	приводит к	3	6
47	на то	2	5
48	так что	3	5
49	же время	2	5
50	хотя и	4	5
51	все это	4	5
52	по отношению	4	5
53	таким образом	2	5
54	а в	3	5
55	бы в	3	5
56	на фоне	3	5
57	вовсе не	2	5
58	о том	7	5
59	но не	4	5
60	было бы	3	5
61	никак не	2	5
62	отношению к	4	5
63	в речи	3	5
64	и он	2	5
65	в себе	7	5
66	что в	2	4
67	в своем	4	4
68	с другой	6	4
69	к тому	7	4
70	в словах	3	4
71	в результате	3	4
72	в произведении	2	4
73	то есть	9	4
74	а как	2	4
75	знаю что	2	4
76	в своей	2	4
77	и до	2	4
78	во всех	4	4
79	в отличие	2	4
80	на этот	2	4
81	как раз	4	4
82	речи и	2	4
83	только в	4	4
84	отличие от	2	4
85	же не	2	4
86	не менее	4	3
87	от автора	2	3
88	или иной	3	3
89	он был	2	3
90	тому же	4	3
91	есть в	3	3
92	том или	2	3
93	о своей	2	3
94	той или	3	3
95	и их	2	3
96	в их	3	3
97	того и	2	3
98	и даже	9	3
99	он и	2	3
100	в диалоге	2	3
101	его в	2	3
102	с ним	2	3
103	между тем	2	3
104	если бы	3	3
105	не знает	3	3
106	и к	5	3
107	по существу	2	3
108	того же	4	3
109	здесь в	2	3
110	она не	2	3
111	за пределы	4	3
112	даже в	2	3
113	что и	3	3
114	себя в	2	3
115	на него	2	3
116	так и	15	3
117	только на	3	3
118	в себя	4	3
119	уже не	4	3
120	другой стороны	2	3
121	и для	2	3
122	той же	2	3
123	можно было	3	3
124	ничего не	9	3
125	тем что	3	3
126	могут быть	10	3
127	в эту	3	3
128	не был	3	2
129	в сторону	5	2
130	другого и	2	2
131	в конце	4	2
132	была бы	2	2
133	что на	3	2
134	тем не	3	2
135	из его	2	2
136	и является	4	2
137	на себе	3	2
138	в целом	8	2
139	отношения к	2	2
140	но эта	2	2
141	того что	2	2
142	этих случаях	2	2
143	так же	2	2
144	особенно в	7	2
145	с ними	3	2
146	а то	2	2
147	сказать что	2	2
148	из них	3	2
149	я и	3	2
150	произведения как	2	2
151	уже и	2	2
152	превращается в	2	2
153	этом смысле	2	2
154	ведь ты	2	2
155	а затем	2	2
156	в первой	3	2
157	ведь это	2	2
158	с их	2	2
159	на себя	5	2
160	этого слова	3	2
161	и особенно	4	2
162	не есть	2	2
163	внутренней речи	4	2
164	момент его	2	2
165	как в	4	2
166	еще более	2	2
167	том что	12	2
168	высказывания и	2	2
169	в таком	2	2
170	и то	3	2
171	автора и	3	2
172	в поэзии	2	2
