N	2gram	Vinokur_St_3	Mirosoze
1	может быть	19	30
2	не только	12	29
3	и в	25	28
4	не может	7	28
5	но и	9	25
6	а не	5	25
7	он не	5	24
8	в этом	24	20
9	не было	4	18
10	у него	9	17
11	не в	6	16
12	потому что	5	16
13	в ней	4	15
14	в своей	4	15
15	никогда не	2	14
16	он был	3	14
17	до конца	3	14
18	и это	5	12
19	для него	3	11
20	в самом	2	11
21	и не	10	11
22	что в	19	10
23	прежде всего	10	10
24	что он	19	10
25	было бы	7	10
26	в творчестве	3	10
27	но он	3	9
28	с тем	4	9
29	в его	12	9
30	и его	3	9
31	но не	2	8
32	в котором	5	8
33	не был	2	7
34	того что	5	7
35	в конце	6	7
36	но в	5	7
37	к нему	4	7
38	в том	20	6
39	в этой	14	6
40	все это	8	6
41	лишь в	4	6
42	и на	6	6
43	вместе с	2	6
44	только в	6	6
45	в которой	4	6
46	это не	7	5
47	от нее	3	5
48	у нас	4	5
49	как и	4	5
50	то что	12	5
51	нет и	2	5
52	уже в	3	4
53	в этих	11	4
54	с этой	3	4
55	нет в	3	4
56	отношение к	4	4
57	в их	3	4
58	и по	2	4
59	а в	6	4
60	в которых	2	4
61	точки зрения	7	4
62	должен был	2	4
63	в них	5	4
64	не как	2	4
65	один из	2	4
66	xix века	4	4
67	к ней	4	4
68	тему о	2	4
69	уже не	3	4
70	тем что	19	4
71	себя и	2	3
72	к тому	2	3
73	это есть	4	3
74	не мог	2	3
75	не имеет	2	3
76	не так	3	3
77	его не	2	3
78	с этим	7	3
79	так как	3	3
80	то есть	2	3
81	и с	4	3
82	на этом	3	3
83	с его	3	3
84	одно из	2	3
85	в жизни	4	3
86	том что	15	3
87	ничего не	4	3
88	не была	2	3
89	место в	6	2
90	связана с	4	2
91	его как	3	2
92	это особенно	2	2
93	в свою	2	2
94	движения в	2	2
95	для того	2	2
96	в виду	2	2
97	могут быть	2	2
98	всего в	4	2
99	отличается от	4	2
100	быть не	2	2
101	все эти	3	2
102	и что	3	2
103	время как	4	2
104	сказать что	4	2
105	которую он	2	2
106	он и	2	2
107	в начале	4	2
108	как бы	6	2
109	о том	8	2
110	том смысле	2	2
111	в россии	6	2
112	а как	4	2
113	к этой	2	2
114	если бы	4	2
115	и во	2	2
116	к этому	3	2
117	мы видим	4	2
118	в то	7	2
119	то время	4	2
120	связано с	5	2
121	до сих	2	2
122	и к	4	2
123	относится к	4	2
124	должен быть	2	2
125	все же	4	2
126	сих пор	2	2
127	как в	6	2
128	в центре	4	2
129	т е	8	2
130	и у	2	2
131	и для	4	2
132	к этим	2	2
133	конце концов	3	2
134	в каком	4	2
135	на протяжении	4	2
136	он хотел	3	2
