N	2gram	Tiupa_Narr_1	Vladivir
1	и в	19	40
2	то что	11	28
3	и не	20	25
4	не только	32	25
5	то есть	19	24
6	у него	4	24
7	но и	23	18
8	в том	18	18
9	том что	14	18
10	что в	3	17
11	в этом	17	16
12	в его	9	14
13	не может	10	14
14	точки зрения	10	13
15	только в	4	13
16	а именно	3	12
17	сказать что	4	12
18	никогда не	3	11
19	о том	6	11
20	прежде всего	4	10
21	тем не	3	10
22	ни в	3	10
23	и потому	2	10
24	не есть	3	10
25	как раз	2	10
26	и его	5	10
27	не менее	3	9
28	что это	3	9
29	уже не	5	9
30	и с	4	9
31	в себе	8	9
32	в своем	2	8
33	в этой	5	8
34	для него	2	8
35	может быть	25	8
36	так же	2	8
37	он не	3	8
38	а также	7	8
39	как мы	3	8
40	а не	12	8
41	к тому	7	7
42	и как	5	7
43	несмотря на	2	7
44	хотя и	3	7
45	а в	11	7
46	в то	3	7
47	как и	7	7
48	да и	4	6
49	и даже	3	6
50	не мог	4	6
51	и на	3	6
52	по себе	5	6
53	то в	6	6
54	не будет	3	6
55	так и	9	6
56	если не	4	6
57	хотя бы	4	6
58	с точки	2	6
59	с другой	8	5
60	тому же	5	5
61	отношения к	2	5
62	не было	2	5
63	все эти	2	5
64	в ней	3	5
65	отнюдь не	5	5
66	что он	6	5
67	некоторого рода	2	5
68	или менее	2	5
69	можно было	2	5
70	в данном	5	5
71	тем что	3	5
72	более или	2	5
73	ничего не	2	5
74	точно так	2	4
75	мог бы	3	4
76	такого рода	7	4
77	не имеет	2	4
78	в результате	2	4
79	как это	6	4
80	и все	2	4
81	не с	3	4
82	по существу	2	4
83	но не	5	4
84	еще не	7	4
85	было бы	4	4
86	даже в	2	4
87	говорит о	2	4
88	то же	4	4
89	а с	3	4
90	все же	7	4
91	но в	6	4
92	перед нами	4	3
93	уже в	3	3
94	же как	3	3
95	независимо от	2	3
96	в качестве	21	3
97	то ни	3	3
98	это не	2	3
99	из этих	3	3
100	только о	2	3
101	но все	4	3
102	одной стороны	7	3
103	при этом	9	3
104	как бы	4	3
105	и тем	4	3
106	в нем	4	3
107	к нему	5	3
108	бы то	3	3
109	отличается от	4	3
110	в связи	2	3
111	и только	2	3
112	с одной	7	3
113	именно в	6	3
114	не столько	4	3
115	сводится к	3	3
116	все то	2	3
117	мы имеем	2	3
118	но о	3	3
119	же в	4	3
120	оно не	2	3
121	не все	5	3
122	даже не	3	3
123	в отличие	5	3
124	не в	14	3
125	и для	2	3
126	в таком	2	3
127	далеко не	5	3
128	здесь не	4	3
129	отличие от	5	3
130	он сам	2	2
131	должна быть	2	2
132	в какой	2	2
133	что на	2	2
134	обращает на	3	2
135	же время	4	2
136	жизни а	2	2
137	за границу	3	2
138	истории в	3	2
139	не о	3	2
140	той или	4	2
141	так или	2	2
142	не является	8	2
143	который в	2	2
144	другой стороны	4	2
145	этом отношении	3	2
146	в юности	2	2
147	что касается	2	2
148	но как	2	2
149	по своей	3	2
150	что мы	2	2
151	его в	2	2
152	таком случае	2	2
153	не существует	3	2
154	с его	6	2
155	которая в	2	2
156	здесь и	2	2
157	не как	2	2
158	на первый	2	2
159	в силу	4	2
160	она не	2	2
161	из них	3	2
162	одной из	4	2
163	совершенно не	2	2
164	наряду с	2	2
165	в сущности	3	2
166	он уже	2	2
167	в церкви	4	2
168	со стороны	9	2
169	себя внимание	3	2
170	как говорит	3	2
171	в мире	9	2
172	данном случае	4	2
173	на него	3	2
174	при всем	2	2
175	не на	2	2
176	и сейчас	2	2
177	тем самым	6	2
178	роль в	2	2
179	или иначе	3	2
180	на себя	3	2
181	всей своей	2	2
182	связи с	4	2
183	а если	2	2
184	же не	4	2
