N	2gram	Losev_Dial_1	UchenyiS
1	и в	18	14
2	а не	14	10
3	не только	13	10
4	и не	30	8
5	прежде всего	10	8
6	то что	13	7
7	в этом	12	7
8	не может	12	7
9	может быть	17	6
10	хотя бы	6	5
11	все это	11	5
12	то же	10	5
13	но и	7	4
14	в их	3	4
15	конечно не	3	4
16	с другой	6	4
17	что такое	10	4
18	но в	6	3
19	как и	2	3
20	и то	9	3
21	все же	5	3
22	в своей	2	3
23	в частности	2	3
24	для этого	2	3
25	же время	4	3
26	другой стороны	4	3
27	для него	2	3
28	это не	9	3
29	в то	6	3
30	не как	2	3
31	было бы	12	3
32	не о	4	3
33	ни было	2	3
34	но конечно	2	2
35	тех или	3	2
36	форму и	2	2
37	том что	9	2
38	но не	4	2
39	в том	9	2
40	не есть	40	2
41	крайней мере	4	2
42	не в	6	2
43	всех этих	3	2
44	и для	2	2
45	но это	8	2
46	мы и	2	2
47	бы и	2	2
48	должна быть	3	2
49	этом смысле	3	2
50	о чем	2	2
51	если бы	12	2
52	только в	3	2
53	и с	5	2
54	сих пор	2	2
55	могут быть	3	2
56	даже и	3	2
57	именно как	2	2
58	что он	11	2
59	и у	2	2
60	мы получаем	2	2
61	в себе	11	2
62	как раз	4	2
63	до сих	2	2
64	в конце	4	2
65	этом отношении	2	2
66	ни от	2	2
67	в самом	3	2
68	по себе	25	2
69	а о	2	2
70	ничего не	17	2
71	самом деле	3	2
72	по крайней	4	2
73	что она	7	2
74	и является	2	2
75	что и	3	2
76	в его	3	2
77	конце концов	3	2
78	это было	2	2
79	как таковой	4	2
