N	2gram	Bakhtin_Fr_3	VelikijI
1	и не	13	20
2	и в	40	16
3	то что	5	9
4	так как	4	9
5	еще не	3	8
6	в истории	4	8
7	и потому	4	7
8	а не	5	7
9	в мире	4	5
10	как бы	3	5
11	но и	11	5
12	все это	4	5
13	и есть	3	4
14	что он	2	4
15	в нем	5	4
16	как и	11	4
17	все что	2	4
18	в котором	2	4
19	так и	3	4
20	потому что	2	4
21	в этом	15	4
22	в ней	4	4
23	и все	9	4
24	в его	13	4
25	с его	3	3
26	что в	12	3
27	в этих	6	3
28	в них	9	3
29	в конце	3	3
30	ни в	4	3
31	в том	8	3
32	но это	3	3
33	во всех	6	3
34	что и	3	3
35	жизни и	4	3
36	в своей	6	3
37	не было	5	3
38	и они	2	3
39	лишь в	2	3
40	хотя бы	2	3
41	и для	5	3
42	их в	3	3
43	все эти	8	3
44	но в	8	3
45	до того	2	2
46	это не	2	2
47	в духе	7	2
48	прежде всего	16	2
49	что было	2	2
50	его к	2	2
51	том что	4	2
52	одна из	3	2
53	но не	2	2
54	на тебя	2	2
55	они и	2	2
56	в последнем	2	2
57	не к	2	2
58	конечно не	2	2
59	для него	5	2
60	и сам	2	2
61	того чтобы	4	2
62	так много	3	2
63	и во	4	2
64	не только	13	2
65	один из	4	2
66	в форме	2	2
67	тем что	3	2
68	мы не	2	2
69	не так	3	2
70	а в	3	2
71	можно было	3	2
72	между тем	3	2
73	только в	3	2
74	и это	2	2
75	мы слышим	4	2
